BECvar_site,BECvar_seed,HTp_pred
BAFAun,MHmmp,0.9029
BAFAun,MHun,0.9160
BAFAun,MHunp,0.9683
BAFAun,MHwh,0.6683
BAFAun,MHwh1,0.7063
BAFAun,MHwhp,0.7384
BAFAun,MSdc1,0.6974
BAFAun,MSdc2,0.7881
BAFAun,MSdc3,0.7551
BAFAun,MSdk1,0.6691
BAFAun,MSdk2,0.7131
BAFAun,MSdm1,0.6541
BAFAun,MSdm2,0.6556
BAFAun,MSdm3,0.6602
BAFAun,MSdv,0.7774
BAFAun,MSmw1,0.6641
BAFAun,MSmw2,0.6541
BAFAun,MSun,0.8291
BAFAun,MSxk1,0.6574
BAFAun,MSxk2,0.6347
BAFAun,MSxk3,0.7094
BAFAun,MSxv,0.7833
BAFAun,PPdh2,0.3920
BAFAun,PPxh1,0.2320
BAFAun,PPxh2,0.2861
BAFAun,PPxh3,0.3436
BAFAun,SBPSdc,0.6752
BAFAun,SBPSmc,0.7028
BAFAun,SBPSmk,0.6869
BAFAun,SBPSxc,0.6690
BAFAun,SBSdh1,0.6763
BAFAun,SBSdh2,0.8276
BAFAun,SBSdk,0.6686
BAFAun,SBSdw1,0.6453
BAFAun,SBSdw2,0.6567
BAFAun,SBSdw3,0.6930
BAFAun,SBSmc1,0.7533
BAFAun,SBSmc2,0.7646
BAFAun,SBSmc3,0.7336
BAFAun,SBSmh,0.5813
BAFAun,SBSmk1,0.7810
BAFAun,SBSmk2,0.7274
BAFAun,SBSmm,0.7345
BAFAun,SBSmw,0.6889
BAFAun,SBSun,0.8661
BAFAun,SBSvk,0.8214
BAFAun,SBSwk1,0.7895
BAFAun,SBSwk2,0.8327
BAFAun,SBSwk3,0.7756
BAFAun,SWBmk,0.8988
BAFAun,SWBmks,0.9645
BAFAun,SWBun,0.8740
BAFAun,SWBuns,0.9271
BAFAun,SWBvk,0.9236
BAFAun,SWBvks,0.9413
BAFAunp,BAFAun,0.9124
BAFAunp,BAFAunp,1.0000
BAFAunp,BGxh1,0.2151
BAFAunp,BGxh2,0.2948
BAFAunp,BGxh3,0.3738
BAFAunp,BGxw1,0.4556
BAFAunp,BGxw2,0.5192
BAFAunp,BWBSdk,0.7438
BAFAunp,BWBSmk,0.5875
BAFAunp,BWBSmw,0.6852
BAFAunp,BWBSvk,0.8428
BAFAunp,BWBSwk1,0.8388
BAFAunp,BWBSwk2,0.7539
BAFAunp,BWBSwk3,0.7214
BAFAunp,CDFmm,0.3593
BAFAunp,CMAun,0.9067
BAFAunp,CMAunp,0.9463
BAFAunp,CMAwh,0.8080
BAFAunp,CWHdm,0.5574
BAFAunp,CWHds1,0.6967
BAFAunp,CWHds2,0.7916
BAFAunp,CWHmm1,0.7039
BAFAunp,CWHmm2,0.7859
BAFAunp,CWHms1,0.8513
BAFAunp,CWHms2,0.7558
BAFAunp,CWHun,0.8564
BAFAunp,CWHvh1,0.5451
BAFAunp,CWHvh2,0.6922
BAFAunp,CWHvh3,0.6932
BAFAunp,CWHvm1,0.6785
BAFAunp,CWHvm2,0.7937
BAFAunp,CWHwh1,0.6678
BAFAunp,CWHwh2,0.7752
BAFAunp,CWHwm,0.8620
BAFAunp,CWHws1,0.8003
BAFAunp,CWHws2,0.9066
BAFAunp,CWHxm1,0.4995
BAFAunp,CWHxm2,0.6422
BAFAunp,ESSFdc1,0.9322
BAFAunp,ESSFdc2,0.9160
BAFAunp,ESSFdc3,0.8993
BAFAunp,ESSFdcp,0.9814
BAFAunp,ESSFdcw,0.9675
BAFAunp,ESSFdk1,0.9236
BAFAunp,ESSFdk2,0.9337
BAFAunp,ESSFdkp,0.9550
BAFAunp,ESSFdkw,0.9517
BAFAunp,ESSFdv1,0.9401
BAFAunp,ESSFdv2,0.9676
BAFAunp,ESSFdvp,0.9805
BAFAunp,ESSFdvw,0.9773
BAFAunp,ESSFmc,0.9318
BAFAunp,ESSFmcp,0.9455
BAFAunp,ESSFmh,0.8807
BAFAunp,ESSFmk,0.9707
BAFAunp,ESSFmkp,0.9925
BAFAunp,ESSFmm1,0.9542
BAFAunp,ESSFmm2,0.9413
BAFAunp,ESSFmmp,0.9620
BAFAunp,ESSFmmw,0.9606
BAFAunp,ESSFmv1,0.8895
BAFAunp,ESSFmv2,0.9247
BAFAunp,ESSFmv3,0.9097
BAFAunp,ESSFmv4,0.8561
BAFAunp,ESSFmvp,0.9315
BAFAunp,ESSFmw,0.9564
BAFAunp,ESSFmw1,0.9297
BAFAunp,ESSFmw2,0.9352
BAFAunp,ESSFmwp,0.9889
BAFAunp,ESSFmww,0.9672
BAFAunp,ESSFun,0.9347
BAFAunp,ESSFunp,0.9427
BAFAunp,ESSFvc,0.9378
BAFAunp,ESSFvcp,0.9715
BAFAunp,ESSFvcw,0.9655
BAFAunp,ESSFwc2,0.9530
BAFAunp,ESSFwc3,0.9593
BAFAunp,ESSFwc4,0.9493
BAFAunp,ESSFwcp,0.9749
BAFAunp,ESSFwcw,0.9749
BAFAunp,ESSFwh1,0.9185
BAFAunp,ESSFwh2,0.9082
BAFAunp,ESSFwh3,0.9050
BAFAunp,ESSFwk1,0.9342
BAFAunp,ESSFwk2,0.9312
BAFAunp,ESSFwm,0.9573
BAFAunp,ESSFwm1,0.9189
BAFAunp,ESSFwm2,0.9494
BAFAunp,ESSFwm3,0.9416
BAFAunp,ESSFwm4,0.9155
BAFAunp,ESSFwmp,0.9765
BAFAunp,ESSFwmw,0.9696
BAFAunp,ESSFwv,0.9431
BAFAunp,ESSFwvp,0.9612
BAFAunp,ESSFxc1,0.9021
BAFAunp,ESSFxc2,0.9243
BAFAunp,ESSFxc3,0.9360
BAFAunp,ESSFxcp,0.9602
BAFAunp,ESSFxcw,0.9593
BAFAunp,ESSFxv1,0.9803
BAFAunp,ESSFxv2,0.9765
BAFAunp,ESSFxvp,0.9930
BAFAunp,ESSFxvw,0.9735
BAFAunp,ICHdk,0.7841
BAFAunp,ICHdm,0.8188
BAFAunp,ICHdw1,0.6825
BAFAunp,ICHdw3,0.7486
BAFAunp,ICHdw4,0.6463
BAFAunp,ICHmc1,0.8574
BAFAunp,ICHmc2,0.7877
BAFAunp,ICHmk1,0.7865
BAFAunp,ICHmk2,0.7987
BAFAunp,ICHmk3,0.8130
BAFAunp,ICHmk4,0.8454
BAFAunp,ICHmm,0.8860
BAFAunp,ICHmw1,0.8578
BAFAunp,ICHmw2,0.7839
BAFAunp,ICHmw3,0.7866
BAFAunp,ICHmw4,0.8381
BAFAunp,ICHmw5,0.8024
BAFAunp,ICHvc,0.8763
BAFAunp,ICHvk1,0.8809
BAFAunp,ICHvk2,0.8818
BAFAunp,ICHwc,0.8815
BAFAunp,ICHwk1,0.8630
BAFAunp,ICHwk2,0.8227
BAFAunp,ICHwk3,0.8600
BAFAunp,ICHwk4,0.8689
BAFAunp,ICHxw,0.5679
BAFAunp,IDFdc,0.7665
BAFAunp,IDFdk1,0.7063
BAFAunp,IDFdk2,0.7355
BAFAunp,IDFdk3,0.7108
BAFAunp,IDFdk4,0.7195
BAFAunp,IDFdk5,0.6882
BAFAunp,IDFdm1,0.6429
BAFAunp,IDFdm2,0.6287
BAFAunp,IDFdw,0.7872
BAFAunp,IDFmw1,0.6273
BAFAunp,IDFmw2,0.6365
BAFAunp,IDFww,0.7177
BAFAunp,IDFww1,0.5919
BAFAunp,IDFxc,0.5637
BAFAunp,IDFxh1,0.5363
BAFAunp,IDFxh2,0.5754
BAFAunp,IDFxh4,0.5021
BAFAunp,IDFxk,0.5543
BAFAunp,IDFxm,0.6309
BAFAunp,IDFxw,0.5732
BAFAunp,IMAun,0.9634
BAFAunp,IMAunp,0.9866
BAFAunp,MHmm1,0.8590
BAFAunp,MHmm2,0.9546
BAFAunp,MHmmp,0.9377
BAFAunp,MHun,0.8673
BAFAunp,MHunp,0.8706
BAFAunp,MHwh,0.7941
BAFAunp,MHwh1,0.7982
BAFAunp,MHwhp,0.8183
BAFAunp,MSdc1,0.8748
BAFAunp,MSdc2,0.9269
BAFAunp,MSdc3,0.9161
BAFAunp,MSdk1,0.8222
BAFAunp,MSdk2,0.8321
BAFAunp,MSdm1,0.8195
BAFAunp,MSdm2,0.8383
BAFAunp,MSdm3,0.8016
BAFAunp,MSdv,0.9310
BAFAunp,MSmw1,0.8593
BAFAunp,MSmw2,0.8385
BAFAunp,MSun,0.9619
BAFAunp,MSxk1,0.8344
BAFAunp,MSxk2,0.7756
BAFAunp,MSxk3,0.8518
BAFAunp,MSxv,0.8947
BAFAunp,PPdh2,0.5270
BAFAunp,PPxh1,0.3412
BAFAunp,PPxh2,0.4029
BAFAunp,PPxh3,0.4833
BAFAunp,SBPSdc,0.7689
BAFAunp,SBPSmc,0.8108
BAFAunp,SBPSmk,0.7924
BAFAunp,SBPSxc,0.7900
BAFAunp,SBSdh1,0.7859
BAFAunp,SBSdh2,0.8964
BAFAunp,SBSdk,0.7612
BAFAunp,SBSdw1,0.7598
BAFAunp,SBSdw2,0.7613
BAFAunp,SBSdw3,0.7748
BAFAunp,SBSmc1,0.8672
BAFAunp,SBSmc2,0.8409
BAFAunp,SBSmc3,0.8261
BAFAunp,SBSmh,0.6889
BAFAunp,SBSmk1,0.8414
BAFAunp,SBSmk2,0.7563
BAFAunp,SBSmm,0.8564
BAFAunp,SBSmw,0.7883
BAFAunp,SBSun,0.8657
BAFAunp,SBSvk,0.8819
BAFAunp,SBSwk1,0.8650
BAFAunp,SBSwk2,0.8601
BAFAunp,SBSwk3,0.8300
BAFAunp,SWBmk,0.8351
BAFAunp,SWBmks,0.8921
BAFAunp,SWBun,0.7965
BAFAunp,SWBuns,0.8284
BAFAunp,SWBvk,0.8521
BAFAunp,SWBvks,0.8326
BGxh1,BAFAun,0.1386
BGxh1,BAFAunp,0.2151
BGxh1,BGxh1,1.0000
BGxh1,BGxh2,0.9653
BGxh1,BGxh3,0.9142
BGxh1,BGxw1,0.8587
BGxh1,BGxw2,0.7971
BGxh1,BWBSdk,0.3538
BGxh1,BWBSmk,0.3317
BGxh1,BWBSmw,0.4511
BGxh1,BWBSvk,0.2284
BGxh1,BWBSwk1,0.3913
BGxh1,BWBSwk2,0.3729
BGxh1,BWBSwk3,0.2820
BGxh1,CDFmm,0.6840
BGxh1,CMAun,0.1090
BGxh1,CMAunp,0.1559
BGxh1,CMAwh,0.1368
BGxh1,CWHdm,0.4514
BGxh1,CWHds1,0.4691
BGxh1,CWHds2,0.4803
BGxh1,CWHmm1,0.3586
BGxh1,CWHmm2,0.3163
BGxh1,CWHms1,0.3472
BGxh1,CWHms2,0.3360
BGxh1,CWHun,0.4657
BGxh1,CWHvh1,0.3129
BGxh1,CWHvh2,0.2406
BGxh1,CWHvh3,0.2652
BGxh1,CWHvm1,0.2928
BGxh1,CWHvm2,0.2294
BGxh1,CWHwh1,0.3477
BGxh1,CWHwh2,0.2299
BGxh1,CWHwm,0.2576
BGxh1,CWHws1,0.3833
BGxh1,CWHws2,0.3024
BGxh1,CWHxm1,0.5654
BGxh1,CWHxm2,0.4272
BGxh1,ESSFdc1,0.3500
BGxh1,ESSFdc2,0.3958
BGxh1,ESSFdc3,0.4157
BGxh1,ESSFdcp,0.2678
BGxh1,ESSFdcw,0.2936
BGxh1,ESSFdk1,0.3279
BGxh1,ESSFdk2,0.2946
BGxh1,ESSFdkp,0.2033
BGxh1,ESSFdkw,0.2385
BGxh1,ESSFdv1,0.3558
BGxh1,ESSFdv2,0.3161
BGxh1,ESSFdvp,0.2369
BGxh1,ESSFdvw,0.2779
BGxh1,ESSFmc,0.2953
BGxh1,ESSFmcp,0.1920
BGxh1,ESSFmh,0.4148
BGxh1,ESSFmk,0.2870
BGxh1,ESSFmkp,0.2131
BGxh1,ESSFmm1,0.2556
BGxh1,ESSFmm2,0.2553
BGxh1,ESSFmmp,0.2017
BGxh1,ESSFmmw,0.2565
BGxh1,ESSFmv1,0.4005
BGxh1,ESSFmv2,0.2816
BGxh1,ESSFmv3,0.2878
BGxh1,ESSFmv4,0.2926
BGxh1,ESSFmvp,0.2216
BGxh1,ESSFmw,0.3204
BGxh1,ESSFmw1,0.3427
BGxh1,ESSFmw2,0.3669
BGxh1,ESSFmwp,0.2444
BGxh1,ESSFmww,0.3016
BGxh1,ESSFun,0.2072
BGxh1,ESSFunp,0.1645
BGxh1,ESSFvc,0.2633
BGxh1,ESSFvcp,0.1809
BGxh1,ESSFvcw,0.2143
BGxh1,ESSFwc2,0.2762
BGxh1,ESSFwc3,0.2252
BGxh1,ESSFwc4,0.2819
BGxh1,ESSFwcp,0.1942
BGxh1,ESSFwcw,0.2273
BGxh1,ESSFwh1,0.3235
BGxh1,ESSFwh2,0.3575
BGxh1,ESSFwh3,0.3024
BGxh1,ESSFwk1,0.3166
BGxh1,ESSFwk2,0.2512
BGxh1,ESSFwm,0.2673
BGxh1,ESSFwm1,0.3196
BGxh1,ESSFwm2,0.3038
BGxh1,ESSFwm3,0.2501
BGxh1,ESSFwm4,0.3541
BGxh1,ESSFwmp,0.2018
BGxh1,ESSFwmw,0.2401
BGxh1,ESSFwv,0.2801
BGxh1,ESSFwvp,0.2175
BGxh1,ESSFxc1,0.4031
BGxh1,ESSFxc2,0.3810
BGxh1,ESSFxc3,0.3615
BGxh1,ESSFxcp,0.2928
BGxh1,ESSFxcw,0.3122
BGxh1,ESSFxv1,0.2926
BGxh1,ESSFxv2,0.2849
BGxh1,ESSFxvp,0.2231
BGxh1,ESSFxvw,0.2832
BGxh1,ICHdk,0.5362
BGxh1,ICHdm,0.4817
BGxh1,ICHdw1,0.5890
BGxh1,ICHdw3,0.5405
BGxh1,ICHdw4,0.6452
BGxh1,ICHmc1,0.3933
BGxh1,ICHmc2,0.4930
BGxh1,ICHmk1,0.5408
BGxh1,ICHmk2,0.5355
BGxh1,ICHmk3,0.4941
BGxh1,ICHmk4,0.4429
BGxh1,ICHmm,0.3927
BGxh1,ICHmw1,0.4326
BGxh1,ICHmw2,0.4767
BGxh1,ICHmw3,0.4777
BGxh1,ICHmw4,0.3862
BGxh1,ICHmw5,0.4973
BGxh1,ICHvc,0.3520
BGxh1,ICHvk1,0.3392
BGxh1,ICHvk2,0.3262
BGxh1,ICHwc,0.3103
BGxh1,ICHwk1,0.3858
BGxh1,ICHwk2,0.4572
BGxh1,ICHwk3,0.3844
BGxh1,ICHwk4,0.3866
BGxh1,ICHxw,0.7119
BGxh1,IDFdc,0.5714
BGxh1,IDFdk1,0.6415
BGxh1,IDFdk2,0.6126
BGxh1,IDFdk3,0.6234
BGxh1,IDFdk4,0.6024
BGxh1,IDFdk5,0.6303
BGxh1,IDFdm1,0.7043
BGxh1,IDFdm2,0.6961
BGxh1,IDFdw,0.5475
BGxh1,IDFmw1,0.6984
BGxh1,IDFmw2,0.6917
BGxh1,IDFww,0.5667
BGxh1,IDFww1,0.7314
BGxh1,IDFxc,0.7713
BGxh1,IDFxh1,0.8079
BGxh1,IDFxh2,0.7702
BGxh1,IDFxh4,0.8275
BGxh1,IDFxk,0.7645
BGxh1,IDFxm,0.6955
BGxh1,IDFxw,0.7560
BGxh1,IMAun,0.1569
BGxh1,IMAunp,0.2432
BGxh1,MHmm1,0.1995
BGxh1,MHmm2,0.2291
BGxh1,MHmmp,0.1651
BGxh1,MHun,0.2342
BGxh1,MHunp,0.1308
BGxh1,MHwh,0.1785
BGxh1,MHwh1,0.1635
BGxh1,MHwhp,0.1453
BGxh1,MSdc1,0.4508
