BECvar_site,BECvar_seed,HTp_pred
BAFAun,MHmmp,0.9650
BAFAun,MHun,0.9698
BAFAun,MHunp,0.9888
BAFAun,MHwh,0.8691
BAFAun,MHwh1,0.8858
BAFAun,MHwhp,0.8996
BAFAun,MSdc1,0.8815
BAFAun,MSdc2,0.9200
BAFAun,MSdc3,0.9064
BAFAun,MSdk1,0.8690
BAFAun,MSdk2,0.8885
BAFAun,MSdm1,0.8621
BAFAun,MSdm2,0.8627
BAFAun,MSdm3,0.8649
BAFAun,MSdv,0.9156
BAFAun,MSmw1,0.8667
BAFAun,MSmw2,0.8621
BAFAun,MSun,0.9366
BAFAun,MSxk1,0.8635
BAFAun,MSxk2,0.8529
BAFAun,MSxk3,0.8867
BAFAun,MSxv,0.9181
BAFAun,PPdh2,0.7209
BAFAun,PPxh1,0.6003
BAFAun,PPxh2,0.6457
BAFAun,PPxh3,0.6886
BAFAun,SBPSdc,0.8717
BAFAun,SBPSmc,0.8839
BAFAun,SBPSmk,0.8770
BAFAun,SBPSxc,0.8687
BAFAun,SBSdh1,0.8723
BAFAun,SBSdh2,0.9360
BAFAun,SBSdk,0.8687
BAFAun,SBSdw1,0.8582
BAFAun,SBSdw2,0.8634
BAFAun,SBSdw3,0.8798
BAFAun,SBSmc1,0.9058
BAFAun,SBSmc2,0.9104
BAFAun,SBSmc3,0.8974
BAFAun,SBSmh,0.8275
BAFAun,SBSmk1,0.9173
BAFAun,SBSmk2,0.8948
BAFAun,SBSmm,0.8978
BAFAun,SBSmw,0.8781
BAFAun,SBSun,0.9511
BAFAun,SBSvk,0.9337
BAFAun,SBSwk1,0.9209
BAFAun,SBSwk2,0.9381
BAFAun,SBSwk3,0.9150
BAFAun,SWBmk,0.9634
BAFAun,SWBmks,0.9874
BAFAun,SWBun,0.9540
BAFAun,SWBuns,0.9739
BAFAun,SWBvk,0.9727
BAFAun,SWBvks,0.9791
BAFAunp,BAFAun,0.9734
BAFAunp,BAFAunp,1.0000
BAFAunp,BGxh1,0.6374
BAFAunp,BGxh2,0.6989
BAFAunp,BGxh3,0.7493
BAFAunp,BGxw1,0.7940
BAFAunp,BGxw2,0.8252
BAFAunp,BWBSdk,0.9168
BAFAunp,BWBSmk,0.8557
BAFAunp,BWBSmw,0.8952
BAFAunp,BWBSvk,0.9510
BAFAunp,BWBSwk1,0.9498
BAFAunp,BWBSwk2,0.9206
BAFAunp,BWBSwk3,0.9087
BAFAunp,CDFmm,0.7414
BAFAunp,CMAun,0.9716
BAFAunp,CMAunp,0.9839
BAFAunp,CMAwh,0.9393
BAFAunp,CWHdm,0.8430
BAFAunp,CWHds1,0.8998
BAFAunp,CWHds2,0.9339
BAFAunp,CWHmm1,0.9025
BAFAunp,CWHmm2,0.9320
BAFAunp,CWHms1,0.9540
BAFAunp,CWHms2,0.9214
BAFAunp,CWHun,0.9555
BAFAunp,CWHvh1,0.8375
BAFAunp,CWHvh2,0.8979
BAFAunp,CWHvh3,0.8984
BAFAunp,CWHvm1,0.8928
BAFAunp,CWHvm2,0.9346
BAFAunp,CWHwh1,0.8887
BAFAunp,CWHwh2,0.9282
BAFAunp,CWHwm,0.9574
BAFAunp,CWHws1,0.9370
BAFAunp,CWHws2,0.9717
BAFAunp,CWHxm1,0.8165
BAFAunp,CWHxm2,0.8786
BAFAunp,ESSFdc1,0.9796
BAFAunp,ESSFdc2,0.9746
BAFAunp,ESSFdc3,0.9694
BAFAunp,ESSFdcp,0.9945
BAFAunp,ESSFdcw,0.9904
BAFAunp,ESSFdk1,0.9770
BAFAunp,ESSFdk2,0.9801
BAFAunp,ESSFdkp,0.9866
BAFAunp,ESSFdkw,0.9856
BAFAunp,ESSFdv1,0.9820
BAFAunp,ESSFdv2,0.9904
BAFAunp,ESSFdvp,0.9942
BAFAunp,ESSFdvw,0.9933
BAFAunp,ESSFmc,0.9795
BAFAunp,ESSFmcp,0.9837
BAFAunp,ESSFmh,0.9635
BAFAunp,ESSFmk,0.9913
BAFAunp,ESSFmkp,0.9978
BAFAunp,ESSFmm1,0.9863
BAFAunp,ESSFmm2,0.9824
BAFAunp,ESSFmmp,0.9887
BAFAunp,ESSFmmw,0.9883
BAFAunp,ESSFmv1,0.9662
BAFAunp,ESSFmv2,0.9773
BAFAunp,ESSFmv3,0.9726
BAFAunp,ESSFmv4,0.9555
BAFAunp,ESSFmvp,0.9794
BAFAunp,ESSFmw,0.9870
BAFAunp,ESSFmw1,0.9789
BAFAunp,ESSFmw2,0.9805
BAFAunp,ESSFmwp,0.9967
BAFAunp,ESSFmww,0.9903
BAFAunp,ESSFun,0.9803
BAFAunp,ESSFunp,0.9828
BAFAunp,ESSFvc,0.9814
BAFAunp,ESSFvcp,0.9915
BAFAunp,ESSFvcw,0.9897
BAFAunp,ESSFwc2,0.9860
BAFAunp,ESSFwc3,0.9879
BAFAunp,ESSFwc4,0.9849
BAFAunp,ESSFwcp,0.9925
BAFAunp,ESSFwcw,0.9925
BAFAunp,ESSFwh1,0.9754
BAFAunp,ESSFwh2,0.9722
BAFAunp,ESSFwh3,0.9712
BAFAunp,ESSFwk1,0.9803
BAFAunp,ESSFwk2,0.9793
BAFAunp,ESSFwm,0.9873
BAFAunp,ESSFwm1,0.9755
BAFAunp,ESSFwm2,0.9849
BAFAunp,ESSFwm3,0.9825
BAFAunp,ESSFwm4,0.9744
BAFAunp,ESSFwmp,0.9930
BAFAunp,ESSFwmw,0.9910
BAFAunp,ESSFwv,0.9829
BAFAunp,ESSFwvp,0.9884
BAFAunp,ESSFxc1,0.9702
BAFAunp,ESSFxc2,0.9772
BAFAunp,ESSFxc3,0.9808
BAFAunp,ESSFxcp,0.9881
BAFAunp,ESSFxcw,0.9879
BAFAunp,ESSFxv1,0.9942
BAFAunp,ESSFxv2,0.9930
BAFAunp,ESSFxvp,0.9979
BAFAunp,ESSFxvw,0.9921
BAFAunp,ICHdk,0.9312
BAFAunp,ICHdm,0.9431
BAFAunp,ICHdw1,0.8943
BAFAunp,ICHdw3,0.9188
BAFAunp,ICHdw4,0.8801
BAFAunp,ICHmc1,0.9559
