BECvar_site,BECvar_seed,HTp_pred
BAFAun,MHmmp,0.6951
BAFAun,MHun,0.7315
BAFAun,MHunp,0.8915
BAFAun,MHwh,0.2381
BAFAun,MHwh1,0.2898
BAFAun,MHwhp,0.3394
BAFAun,MSdc1,0.2766
BAFAun,MSdc2,0.4277
BAFAun,MSdc3,0.3672
BAFAun,MSdk1,0.2388
BAFAun,MSdk2,0.2996
BAFAun,MSdm1,0.2203
BAFAun,MSdm2,0.2219
BAFAun,MSdm3,0.2276
BAFAun,MSdv,0.4072
BAFAun,MSmw1,0.2325
BAFAun,MSmw2,0.2202
BAFAun,MSun,0.5129
BAFAun,MSxk1,0.2241
BAFAun,MSxk2,0.1976
BAFAun,MSxk3,0.2938
BAFAun,MSxv,0.4185
BAFAun,PPdh2,0.0355
BAFAun,PPxh1,0.0055
BAFAun,PPxh2,0.0115
BAFAun,PPxh3,0.0222
BAFAun,SBPSdc,0.2464
BAFAun,SBPSmc,0.2842
BAFAun,SBPSmk,0.2622
BAFAun,SBPSxc,0.2383
BAFAun,SBSdh1,0.2481
BAFAun,SBSdh2,0.5094
BAFAun,SBSdk,0.2380
BAFAun,SBSdw1,0.2099
BAFAun,SBSdw2,0.2233
BAFAun,SBSdw3,0.2705
BAFAun,SBSmc1,0.3644
BAFAun,SBSmc2,0.3840
BAFAun,SBSmc3,0.3313
BAFAun,SBSmh,0.1447
BAFAun,SBSmk1,0.4144
BAFAun,SBSmk2,0.3215
BAFAun,SBSmm,0.3329
BAFAun,SBSmw,0.2650
BAFAun,SBSun,0.5993
BAFAun,SBSvk,0.4963
BAFAun,SBSwk1,0.4310
BAFAun,SBSwk2,0.5208
BAFAun,SBSwk3,0.4041
BAFAun,SWBmk,0.6835
BAFAun,SWBmks,0.8789
BAFAun,SWBun,0.6186
BAFAun,SWBuns,0.7632
BAFAun,SWBvk,0.7534
BAFAun,SWBvks,0.8059
BAFAunp,BAFAun,0.9131
BAFAunp,BAFAunp,1.0000
BAFAunp,BGxh1,0.2178
BAFAunp,BGxh2,0.2977
BAFAunp,BGxh3,0.3768
BAFAunp,BGxw1,0.4584
BAFAunp,BGxw2,0.5219
BAFAunp,BWBSdk,0.7455
BAFAunp,BWBSmk,0.5901
BAFAunp,BWBSmw,0.6873
BAFAunp,BWBSvk,0.8440
BAFAunp,BWBSwk1,0.8401
BAFAunp,BWBSwk2,0.7556
BAFAunp,BWBSwk3,0.7233
BAFAunp,CDFmm,0.3626
BAFAunp,CMAun,0.9073
BAFAunp,CMAunp,0.9466
BAFAunp,CMAwh,0.8093
BAFAunp,CWHdm,0.5605
BAFAunp,CWHds1,0.6991
BAFAunp,CWHds2,0.7933
BAFAunp,CWHmm1,0.7063
BAFAunp,CWHmm2,0.7877
BAFAunp,CWHms1,0.8526
BAFAunp,CWHms2,0.7578
BAFAunp,CWHun,0.8574
BAFAunp,CWHvh1,0.5482
BAFAunp,CWHvh2,0.6945
BAFAunp,CWHvh3,0.6956
BAFAunp,CWHvm1,0.6810
BAFAunp,CWHvm2,0.7953
BAFAunp,CWHwh1,0.6703
BAFAunp,CWHwh2,0.7770
BAFAunp,CWHwm,0.8631
BAFAunp,CWHws1,0.8021
BAFAunp,CWHws2,0.9074
BAFAunp,CWHxm1,0.5028
BAFAunp,CWHxm2,0.6450
BAFAunp,ESSFdc1,0.9327
BAFAunp,ESSFdc2,0.9167
BAFAunp,ESSFdc3,0.9000
BAFAunp,ESSFdcp,0.9815
BAFAunp,ESSFdcw,0.9678
BAFAunp,ESSFdk1,0.9242
BAFAunp,ESSFdk2,0.9342
BAFAunp,ESSFdkp,0.9554
BAFAunp,ESSFdkw,0.9521
BAFAunp,ESSFdv1,0.9405
BAFAunp,ESSFdv2,0.9678
BAFAunp,ESSFdvp,0.9806
BAFAunp,ESSFdvw,0.9775
BAFAunp,ESSFmc,0.9323
BAFAunp,ESSFmcp,0.9459
BAFAunp,ESSFmh,0.8817
BAFAunp,ESSFmk,0.9710
BAFAunp,ESSFmkp,0.9925
BAFAunp,ESSFmm1,0.9545
BAFAunp,ESSFmm2,0.9418
BAFAunp,ESSFmmp,0.9622
BAFAunp,ESSFmmw,0.9609
BAFAunp,ESSFmv1,0.8903
BAFAunp,ESSFmv2,0.9253
BAFAunp,ESSFmv3,0.9104
BAFAunp,ESSFmv4,0.8572
BAFAunp,ESSFmvp,0.9321
BAFAunp,ESSFmw,0.9568
BAFAunp,ESSFmw1,0.9303
BAFAunp,ESSFmw2,0.9357
BAFAunp,ESSFmwp,0.9889
BAFAunp,ESSFmww,0.9675
BAFAunp,ESSFun,0.9352
BAFAunp,ESSFunp,0.9431
BAFAunp,ESSFvc,0.9383
BAFAunp,ESSFvcp,0.9717
BAFAunp,ESSFvcw,0.9658
BAFAunp,ESSFwc2,0.9534
BAFAunp,ESSFwc3,0.9596
BAFAunp,ESSFwc4,0.9498
BAFAunp,ESSFwcp,0.9751
BAFAunp,ESSFwcw,0.9750
BAFAunp,ESSFwh1,0.9192
BAFAunp,ESSFwh2,0.9090
BAFAunp,ESSFwh3,0.9058
BAFAunp,ESSFwk1,0.9347
BAFAunp,ESSFwk2,0.9317
BAFAunp,ESSFwm,0.9577
BAFAunp,ESSFwm1,0.9195
BAFAunp,ESSFwm2,0.9499
BAFAunp,ESSFwm3,0.9421
BAFAunp,ESSFwm4,0.9162
BAFAunp,ESSFwmp,0.9767
BAFAunp,ESSFwmw,0.9699
