BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAun,MHmmp,0.9530
BAFAun,MHun,0.9398
BAFAun,MHunp,0.9793
BAFAun,MHwh,0.7556
BAFAun,MHwh1,0.7943
BAFAun,MHwhp,0.8193
BAFAun,MSdc1,0.7441
BAFAun,MSdc2,0.8216
BAFAun,MSdc3,0.7974
BAFAun,MSdk1,0.7244
BAFAun,MSdk2,0.7585
BAFAun,MSdm1,0.7093
BAFAun,MSdm2,0.7045
BAFAun,MSdm3,0.7117
BAFAun,MSdv,0.8091
BAFAun,MSmw1,0.7224
BAFAun,MSmw2,0.7095
BAFAun,MSun,0.8779
BAFAun,MSxk1,0.7001
BAFAun,MSxk2,0.6711
BAFAun,MSxk3,0.7409
BAFAun,MSxv,0.8102
BAFAun,PPdh2,0.4408
BAFAun,PPxh1,0.2699
BAFAun,PPxh2,0.3246
BAFAun,PPxh3,0.3955
BAFAun,SBPSdc,0.7139
BAFAun,SBPSmc,0.7381
BAFAun,SBPSmk,0.7314
BAFAun,SBPSxc,0.7012
BAFAun,SBSdh1,0.7323
BAFAun,SBSdh2,0.8648
BAFAun,SBSdk,0.7093
BAFAun,SBSdw1,0.7025
BAFAun,SBSdw2,0.7075
BAFAun,SBSdw3,0.7387
BAFAun,SBSmc1,0.8050
BAFAun,SBSmc2,0.8034
BAFAun,SBSmc3,0.7699
BAFAun,SBSmh,0.6427
BAFAun,SBSmk1,0.8228
BAFAun,SBSmk2,0.7598
BAFAun,SBSmm,0.7848
BAFAun,SBSmw,0.7463
BAFAun,SBSun,0.9097
BAFAun,SBSvk,0.8811
BAFAun,SBSwk1,0.8470
BAFAun,SBSwk2,0.8714
BAFAun,SBSwk3,0.8132
BAFAun,SWBmk,0.9041
BAFAun,SWBmks,0.9581
BAFAun,SWBun,0.8663
BAFAun,SWBuns,0.9120
BAFAun,SWBvk,0.9641
BAFAun,SWBvks,0.9595
BAFAunp,BAFAun,0.8558
BAFAunp,BAFAunp,0.9823
BAFAunp,BGxh1,0.2658
BAFAunp,BGxh2,0.3510
BAFAunp,BGxh3,0.4339
BAFAunp,BGxw1,0.5166
BAFAunp,BGxw2,0.5811
BAFAunp,BWBSdk,0.7425
BAFAunp,BWBSmk,0.5897
BAFAunp,BWBSmw,0.7118
BAFAunp,BWBSvk,0.8766
BAFAunp,BWBSwk1,0.8694
BAFAunp,BWBSwk2,0.7664
BAFAunp,BWBSwk3,0.7150
BAFAunp,CDFmm,0.4405
BAFAunp,CMAun,0.8626
BAFAunp,CMAunp,0.9386
BAFAunp,CMAwh,0.8406
BAFAunp,CWHdm,0.6592
BAFAunp,CWHds1,0.7977
BAFAunp,CWHds2,0.8773
BAFAunp,CWHmm1,0.8001
BAFAunp,CWHmm2,0.8699
BAFAunp,CWHms1,0.9250
BAFAunp,CWHms2,0.8465
BAFAunp,CWHun,0.8975
BAFAunp,CWHvh1,0.6347
BAFAunp,CWHvh2,0.7744
BAFAunp,CWHvh3,0.7764
BAFAunp,CWHvm1,0.7704
BAFAunp,CWHvm2,0.8631
BAFAunp,CWHwh1,0.7582
BAFAunp,CWHwh2,0.8451
BAFAunp,CWHwm,0.9115
BAFAunp,CWHws1,0.8845
BAFAunp,CWHws2,0.9596
BAFAunp,CWHxm1,0.5982
BAFAunp,CWHxm2,0.7448
BAFAunp,ESSFdc1,0.9614
BAFAunp,ESSFdc2,0.9499
BAFAunp,ESSFdc3,0.9296
BAFAunp,ESSFdcp,0.9733
BAFAunp,ESSFdcw,0.9732
BAFAunp,ESSFdk1,0.9461
BAFAunp,ESSFdk2,0.9364
BAFAunp,ESSFdkp,0.9277
BAFAunp,ESSFdkw,0.9389
BAFAunp,ESSFdv1,0.9581
BAFAunp,ESSFdv2,0.9783
BAFAunp,ESSFdvp,0.9562
BAFAunp,ESSFdvw,0.9709
BAFAunp,ESSFmc,0.9298
BAFAunp,ESSFmcp,0.9106
BAFAunp,ESSFmh,0.9319
BAFAunp,ESSFmk,0.9873
BAFAunp,ESSFmkp,0.9830
BAFAunp,ESSFmm1,0.9562
BAFAunp,ESSFmm2,0.9341
BAFAunp,ESSFmmp,0.9431
BAFAunp,ESSFmmw,0.9642
BAFAunp,ESSFmv1,0.9053
BAFAunp,ESSFmv2,0.9339
BAFAunp,ESSFmv3,0.8973
BAFAunp,ESSFmv4,0.8443
BAFAunp,ESSFmvp,0.8969
BAFAunp,ESSFmw,0.9879
BAFAunp,ESSFmw1,0.9715
BAFAunp,ESSFmw2,0.9669
BAFAunp,ESSFmwp,0.9781
BAFAunp,ESSFmww,0.9832
BAFAunp,ESSFun,0.9275
BAFAunp,ESSFunp,0.9135
BAFAunp,ESSFvc,0.9621
BAFAunp,ESSFvcp,0.9486
BAFAunp,ESSFvcw,0.9637
BAFAunp,ESSFwc2,0.9698
BAFAunp,ESSFwc3,0.9516
BAFAunp,ESSFwc4,0.9715
BAFAunp,ESSFwcp,0.9523
BAFAunp,ESSFwcw,0.9698
BAFAunp,ESSFwh1,0.9588
BAFAunp,ESSFwh2,0.9485
BAFAunp,ESSFwh3,0.9474
BAFAunp,ESSFwk1,0.9603
BAFAunp,ESSFwk2,0.9349
BAFAunp,ESSFwm,0.9563
BAFAunp,ESSFwm1,0.9422
BAFAunp,ESSFwm2,0.9680
BAFAunp,ESSFwm3,0.9596
BAFAunp,ESSFwm4,0.9492
BAFAunp,ESSFwmp,0.9489
BAFAunp,ESSFwmw,0.9623
BAFAunp,ESSFwv,0.9464
BAFAunp,ESSFwvp,0.9396
BAFAunp,ESSFxc1,0.9252
BAFAunp,ESSFxc2,0.9442
BAFAunp,ESSFxc3,0.9445
