BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAun,MHmmp,0.9838
BAFAun,MHun,0.9790
BAFAun,MHunp,0.9929
BAFAun,MHwh,0.0000
BAFAun,MHwh1,0.0000
BAFAun,MHwhp,0.0000
BAFAun,MSdc1,0.9039
BAFAun,MSdc2,0.9350
BAFAun,MSdc3,0.9255
BAFAun,MSdk1,0.8958
BAFAun,MSdk2,0.9100
BAFAun,MSdm1,0.8894
BAFAun,MSdm2,0.8872
BAFAun,MSdm3,0.8905
BAFAun,MSdv,0.9301
BAFAun,MSmw1,0.8949
BAFAun,MSmw2,0.8894
BAFAun,MSun,0.9565
BAFAun,MSxk1,0.8853
BAFAun,MSxk2,0.8726
BAFAun,MSxk3,0.9026
BAFAun,MSxv,0.9306
BAFAun,PPdh2,0.7563
BAFAun,PPxh1,0.6400
BAFAun,PPxh2,0.6812
BAFAun,PPxh3,0.7290
BAFAun,SBPSdc,0.8914
BAFAun,SBPSmc,0.9015
BAFAun,SBPSmk,0.8988
BAFAun,SBPSxc,0.8858
BAFAun,SBSdh1,0.8993
BAFAun,SBSdh2,0.9517
BAFAun,SBSdk,0.8894
BAFAun,SBSdw1,0.8866
BAFAun,SBSdw2,0.8887
BAFAun,SBSdw3,0.9019
BAFAun,SBSmc1,0.9287
BAFAun,SBSmc2,0.9280
BAFAun,SBSmc3,0.9146
BAFAun,SBSmh,0.8603
BAFAun,SBSmk1,0.9357
BAFAun,SBSmk2,0.9106
BAFAun,SBSmm,0.9207
BAFAun,SBSmw,0.9051
BAFAun,SBSun,0.9683
BAFAun,SBSvk,0.9579
BAFAun,SBSwk1,0.9450
BAFAun,SBSwk2,0.9542
BAFAun,SBSwk3,0.9319
BAFAun,SWBmk,0.9662
BAFAun,SWBmks,0.9855
BAFAun,SWBun,0.9522
BAFAun,SWBuns,0.9691
BAFAun,SWBvk,0.9876
BAFAun,SWBvks,0.9860
BAFAunp,BAFAun,0.9554
BAFAunp,BAFAunp,0.9948
BAFAunp,BGxh1,0.6779
BAFAunp,BGxh2,0.7354
BAFAunp,BGxh3,0.7827
BAFAunp,BGxw1,0.8236
BAFAunp,BGxw2,0.8527
BAFAunp,BWBSdk,0.9164
BAFAunp,BWBSmk,0.8567
BAFAunp,BWBSmw,0.9052
BAFAunp,BWBSvk,0.9619
BAFAunp,BWBSwk1,0.9598
BAFAunp,BWBSwk2,0.9250
BAFAunp,BWBSwk3,0.9063
BAFAunp,CDFmm,0.0000
BAFAunp,CMAun,0.9575
BAFAunp,CMAunp,0.9815
BAFAunp,CMAwh,0.0000
BAFAunp,CWHdm,0.0000
BAFAunp,CWHds1,0.9360
BAFAunp,CWHds2,0.9624
BAFAunp,CWHmm1,0.0000
BAFAunp,CWHmm2,0.0000
BAFAunp,CWHms1,0.9774
BAFAunp,CWHms2,0.9524
BAFAunp,CWHun,0.9687
BAFAunp,CWHvh1,0.0000
BAFAunp,CWHvh2,0.0000
BAFAunp,CWHvh3,0.0000
BAFAunp,CWHvm1,0.0000
BAFAunp,CWHvm2,0.0000
BAFAunp,CWHwh1,0.0000
BAFAunp,CWHwh2,0.0000
BAFAunp,CWHwm,0.0000
BAFAunp,CWHws1,0.9647
BAFAunp,CWHws2,0.9880
BAFAunp,CWHxm1,0.0000
BAFAunp,CWHxm2,0.0000
BAFAunp,ESSFdc1,0.9885
BAFAunp,ESSFdc2,0.9850
BAFAunp,ESSFdc3,0.9788
BAFAunp,ESSFdcp,0.9921
BAFAunp,ESSFdcw,0.9921
BAFAunp,ESSFdk1,0.9839
BAFAunp,ESSFdk2,0.9809
BAFAunp,ESSFdkp,0.9783
BAFAunp,ESSFdkw,0.9817
BAFAunp,ESSFdv1,0.9875
BAFAunp,ESSFdv2,0.9936
BAFAunp,ESSFdvp,0.9870
BAFAunp,ESSFdvw,0.9913
BAFAunp,ESSFmc,0.9789
BAFAunp,ESSFmcp,0.9729
BAFAunp,ESSFmh,0.9795
BAFAunp,ESSFmk,0.9963
BAFAunp,ESSFmkp,0.9950
BAFAunp,ESSFmm1,0.9870
BAFAunp,ESSFmm2,0.9802
BAFAunp,ESSFmmp,0.9829
BAFAunp,ESSFmmw,0.9894
BAFAunp,ESSFmv1,0.9712
BAFAunp,ESSFmv2,0.9801
BAFAunp,ESSFmv3,0.9688
BAFAunp,ESSFmv4,0.9516
BAFAunp,ESSFmvp,0.9686
BAFAunp,ESSFmw,0.9964
BAFAunp,ESSFmw1,0.9915
BAFAunp,ESSFmw2,0.9901
BAFAunp,ESSFmwp,0.9935
BAFAunp,ESSFmww,0.9950
BAFAunp,ESSFun,0.9781
BAFAunp,ESSFunp,0.9738
BAFAunp,ESSFvc,0.9887
BAFAunp,ESSFvcp,0.9846
BAFAunp,ESSFvcw,0.9892
BAFAunp,ESSFwc2,0.9911
BAFAunp,ESSFwc3,0.9856
BAFAunp,ESSFwc4,0.9915
BAFAunp,ESSFwcp,0.9858
BAFAunp,ESSFwcw,0.9910
BAFAunp,ESSFwh1,0.9877
BAFAunp,ESSFwh2,0.9846
BAFAunp,ESSFwh3,0.9842
BAFAunp,ESSFwk1,0.9882
BAFAunp,ESSFwk2,0.9805
BAFAunp,ESSFwm,0.9870
BAFAunp,ESSFwm1,0.9827
BAFAunp,ESSFwm2,0.9905
BAFAunp,ESSFwm3,0.9879
BAFAunp,ESSFwm4,0.9848
BAFAunp,ESSFwmp,0.9848
BAFAunp,ESSFwmw,0.9888
BAFAunp,ESSFwv,0.9840
BAFAunp,ESSFwvp,0.9819
BAFAunp,ESSFxc1,0.9774
BAFAunp,ESSFxc2,0.9833
BAFAunp,ESSFxc3,0.9833
BAFAunp,ESSFxcp,0.9840
BAFAunp,ESSFxcw,0.9872
BAFAunp,ESSFxv1,0.9935
BAFAunp,ESSFxv2,0.9905
BAFAunp,ESSFxvp,0.9901
BAFAunp,ESSFxvw,0.9891
BAFAunp,ICHdk,0.9508
BAFAunp,ICHdm,0.9637
BAFAunp,ICHdw1,0.9277
BAFAunp,ICHdw3,0.9446
