A,,,,"B, 100-80-40",,,,"B, 100-50-1",,,,"B, 3-2-1",,,
,Spp,Risk,Weight,,Spp,Risk,Weight,,Spp,Risk,Weight,,Spp,Risk,Weight
57,Sx,38,0.40,57,Sx,38,0.42,57,Sx,38,0.45,57,Sx,38,0.42
58,Bl,40,0.15,58,Bl,40,0.14,58,Bl,40,0.14,58,Bl,40,0.14
59,Pl,40,0.46,59,Pl,40,0.45,59,Pl,40,0.42,59,Pl,40,0.45
60,Sx,40,0.40,60,Sx,40,0.42,60,Sx,40,0.45,60,Sx,40,0.42
61,Bl,42,0.15,61,Bl,42,0.14,61,Bl,42,0.14,61,Bl,42,0.14
62,Pl,42,0.46,62,Pl,42,0.45,62,Pl,42,0.42,62,Pl,42,0.45
63,Sx,42,0.40,63,Sx,42,0.42,63,Sx,42,0.44,63,Sx,42,0.42
64,Bl,44,0.16,64,Bl,44,0.15,64,Bl,44,0.14,64,Bl,44,0.15
65,Pl,44,0.46,65,Pl,44,0.44,65,Pl,44,0.42,65,Pl,44,0.44
66,Sx,44,0.40,66,Sx,44,0.41,66,Sx,44,0.44,66,Sx,44,0.42
67,Bl,46,0.16,67,Bl,46,0.15,67,Bl,46,0.15,67,Bl,46,0.15
68,Pl,46,0.45,68,Pl,46,0.44,68,Pl,46,0.41,68,Pl,46,0.44
69,Sx,46,0.39,69,Sx,46,0.41,69,Sx,46,0.43,69,Sx,46,0.41
70,Bl,48,0.16,70,Bl,48,0.15,70,Bl,48,0.15,70,Bl,48,0.15
71,Pl,48,0.44,71,Pl,48,0.44,71,Pl,48,0.41,71,Pl,48,0.44
72,Sx,48,0.39,72,Sx,48,0.41,72,Sx,48,0.43,72,Sx,48,0.41
73,Bl,50,0.16,73,Bl,50,0.15,73,Bl,50,0.15,73,Bl,50,0.15
74,Pl,50,0.44,74,Pl,50,0.43,74,Pl,50,0.41,74,Pl,50,0.43
75,Sx,50,0.39,75,Sx,50,0.40,75,Sx,50,0.43,75,Sx,50,0.40
