"","Bl","Cw","Fd","Hw","Lw","Pl","Sx"
"Bl",1,-0.0992841630652683,-0.0390372489117291,-0.0648468940941156,0.127716966146111,0.317988398439876,0.500255195818321
"Cw",-0.0992841630652683,1,0.0534176735508963,0.639145091890904,0.164904164921103,-0.0763090347799266,-0.180905124197895
"Fd",-0.0390372489117291,0.0534176735508963,1,-0.0152093609617438,0.403552798424159,-0.0639595643403967,-0.154628703980436
"Hw",-0.0648468940941156,0.639145091890904,-0.0152093609617438,1,0.0605452553986792,-0.10978534032254,-0.130219035723425
"Lw",0.127716966146111,0.164904164921103,0.403552798424159,0.0605452553986792,1,0.185525046132652,0.10357723537166
"Pl",0.317988398439876,-0.0763090347799266,-0.0639595643403967,-0.10978534032254,0.185525046132652,1,0.228783108739631
"Sx",0.500255195818321,-0.180905124197895,-0.154628703980436,-0.130219035723425,0.10357723537166,0.228783108739631,1
