BECvar_site,BECvar_seed,HTp_pred
BAFAun,MHmmp,0.8578
BAFAun,MHun,0.8766
BAFAun,MHunp,0.9528
BAFAun,MHwh,0.5461
BAFAun,MHwh1,0.5932
BAFAun,MHwhp,0.6341
BAFAun,MSdc1,0.5819
BAFAun,MSdc2,0.6992
BAFAun,MSdc3,0.6557
BAFAun,MSdk1,0.5468
BAFAun,MSdk2,0.6017
BAFAun,MSdm1,0.5285
BAFAun,MSdm2,0.5303
BAFAun,MSdm3,0.5359
BAFAun,MSdv,0.6849
BAFAun,MSmw1,0.5407
BAFAun,MSmw2,0.5285
BAFAun,MSun,0.7547
BAFAun,MSxk1,0.5325
BAFAun,MSxk2,0.5051
BAFAun,MSxk3,0.5970
BAFAun,MSxv,0.6929
BAFAun,PPdh2,0.2449
BAFAun,PPxh1,0.1114
BAFAun,PPxh2,0.1526
BAFAun,PPxh3,0.2009
BAFAun,SBPSdc,0.5543
BAFAun,SBPSmc,0.5887
BAFAun,SBPSmk,0.5689
BAFAun,SBPSxc,0.5466
BAFAun,SBSdh1,0.5557
BAFAun,SBSdh2,0.7525
BAFAun,SBSdk,0.5462
BAFAun,SBSdw1,0.5179
BAFAun,SBSdw2,0.5317
BAFAun,SBSdw3,0.5765
BAFAun,SBSmc1,0.6534
BAFAun,SBSmc2,0.6682
BAFAun,SBSmc3,0.6279
BAFAun,SBSmh,0.4427
BAFAun,SBSmk1,0.6899
BAFAun,SBSmk2,0.6200
BAFAun,SBSmm,0.6290
BAFAun,SBSmw,0.5714
BAFAun,SBSun,0.8059
BAFAun,SBSvk,0.7442
BAFAun,SBSwk1,0.7012
BAFAun,SBSwk2,0.7596
BAFAun,SBSwk3,0.6827
BAFAun,SWBmk,0.8519
BAFAun,SWBmks,0.9471
BAFAun,SWBun,0.8169
BAFAun,SWBuns,0.8925
BAFAun,SWBvk,0.8875
BAFAun,SWBvks,0.9131
BAFAunp,BAFAun,0.8915
BAFAunp,BAFAunp,1.0000
BAFAunp,BGxh1,0.1459
BAFAunp,BGxh2,0.2165
BAFAunp,BGxh3,0.2915
BAFAunp,BGxw1,0.3735
BAFAunp,BGxw2,0.4399
BAFAunp,BWBSdk,0.6902
BAFAunp,BWBSmk,0.5137
BAFAunp,BWBSmw,0.6228
BAFAunp,BWBSvk,0.8071
BAFAunp,BWBSwk1,0.8024
BAFAunp,BWBSwk2,0.7020
BAFAunp,BWBSwk3,0.6643
BAFAunp,CDFmm,0.2774
BAFAunp,CMAun,0.8845
BAFAunp,CMAunp,0.9331
BAFAunp,CMAwh,0.7656
BAFAunp,CWHdm,0.4809
BAFAunp,CWHds1,0.6359
BAFAunp,CWHds2,0.7462
BAFAunp,CWHmm1,0.6442
BAFAunp,CWHmm2,0.7395
BAFAunp,CWHms1,0.8174
BAFAunp,CWHms2,0.7042
BAFAunp,CWHun,0.8234
BAFAunp,CWHvh1,0.4677
BAFAunp,CWHvh2,0.6308
BAFAunp,CWHvh3,0.6320
BAFAunp,CWHvm1,0.6152
BAFAunp,CWHvm2,0.7486
BAFAunp,CWHwh1,0.6031
BAFAunp,CWHwh2,0.7270
BAFAunp,CWHwm,0.8302
BAFAunp,CWHws1,0.7566
BAFAunp,CWHws2,0.8844
BAFAunp,CWHxm1,0.4192
BAFAunp,CWHxm2,0.5743
BAFAunp,ESSFdc1,0.9158
BAFAunp,ESSFdc2,0.8959
BAFAunp,ESSFdc3,0.8755
BAFAunp,ESSFdcp,0.9767
BAFAunp,ESSFdcw,0.9595
BAFAunp,ESSFdk1,0.9052
BAFAunp,ESSFdk2,0.9176
BAFAunp,ESSFdkp,0.9440
BAFAunp,ESSFdkw,0.9399
BAFAunp,ESSFdv1,0.9255
BAFAunp,ESSFdv2,0.9595
BAFAunp,ESSFdvp,0.9756
BAFAunp,ESSFdvw,0.9716
BAFAunp,ESSFmc,0.9153
BAFAunp,ESSFmcp,0.9322
BAFAunp,ESSFmh,0.8529
BAFAunp,ESSFmk,0.9635
BAFAunp,ESSFmkp,0.9906
BAFAunp,ESSFmm1,0.9429
BAFAunp,ESSFmm2,0.9271
BAFAunp,ESSFmmp,0.9526
BAFAunp,ESSFmmw,0.9509
BAFAunp,ESSFmv1,0.8636
BAFAunp,ESSFmv2,0.9066
BAFAunp,ESSFmv3,0.8882
BAFAunp,ESSFmv4,0.8232
BAFAunp,ESSFmvp,0.9150
BAFAunp,ESSFmw,0.9457
BAFAunp,ESSFmw1,0.9127
