"","Cw","Fd","Lw","Pl","Py","Sx"
"Cw",1,0.0799705426689587,-0.0745566917719538,0.0194928065721999,-0.072414276903777,0.0573196374385939
"Fd",0.0799705426689587,1,-0.212704435559462,0.143069023950051,-0.136704063912154,0.162018586510267
"Lw",-0.0745566917719538,-0.212704435559462,1,-0.19059504889981,0.732213563954086,-0.412817930450382
"Pl",0.0194928065721999,0.143069023950051,-0.19059504889981,1,-0.0529394385326938,0.182949904287768
"Py",-0.072414276903777,-0.136704063912154,0.732213563954086,-0.0529394385326938,1,-0.256423051560694
"Sx",0.0573196374385939,0.162018586510267,-0.412817930450382,0.182949904287768,-0.256423051560694,1
