"","Bl","Cw","Fd","Hw","Lw","Pl","Py","Sx"
"2000-01-01",31.883560055619,27.5516030403662,35.282347371212,32.8088678012038,39.7520337751238,35.7924856102312,32.7874187626962,32.8213895134994
"2001-01-01",31.8982482381466,24.1231848047596,35.1372158748677,32.685278016852,39.7054017242445,35.7486293662555,32.7245787308714,32.7045676113621
"2002-01-01",31.9129364206741,24.8314078508706,34.9920843785234,32.5616882325002,37.2764455699105,35.7047731222797,31.6800013371204,32.5877457092248
"2003-01-01",28.0989535236725,24.165951570626,34.8469528821791,27.2183411482003,38.8198948700362,35.6609168783039,32.2729096805494,31.1650775406758
"2004-01-01",30.9840434021574,23.5043961160439,34.7018213858347,31.0219283172448,38.7741954601744,35.6170606343282,32.2106980490428,32.0305608859008
"2005-01-01",30.9982909392092,22.8467414871245,34.5566898894904,30.9032821242671,14.9472238615574,35.5732043903524,32.1484864175363,31.9149072027849
"2006-01-01",17.6029361429162,10.7851490847447,34.4115583931461,30.7846359312894,23.6441739591701,35.5293481463767,32.0862747860296,31.799253519669
"2007-01-01",21.4432108866422,11.2737679349498,34.2664268968017,28.0758854538339,33.1175119119336,21.2298963998745,32.024063154523,29.0905988080716
"2008-01-01",25.2861295032232,15.8132099022945,30.9981314757324,24.4125304905867,33.0783409891951,33.6695538755039,31.9618515230164,28.3372088390277
"2009-01-01",27.8537057175795,20.0498300595971,33.6364022650719,-6.00018458868772,29.0849511118397,33.6278904437269,31.8996398915098,30.816892622436
"2010-01-01",6.77486379732886,19.9510091428102,33.4927220836911,25.8898353653026,32.6071420110545,33.58622701195,31.8374282600033,30.7035753773629
"2011-01-01",2.94222690851723,19.8521882260235,33.3490419023103,25.7884917421341,13.6105698110866,33.544563580173,31.7752166284967,26.7287938460804
"2012-01-01",24.0448636844625,19.7533673092366,33.2053617209294,25.6871481189657,30.9620348400119,33.502900148396,31.71300499699,30.162745620338
"2013-01-01",24.0558798213581,15.9156470118986,33.0616815395485,3.18193055375508,25.4023459576001,28.4901979132046,31.6507933654835,21.0732233923962
"2014-01-01",14.4709827582602,11.3059901826264,32.9180013581675,23.9305303316148,6.84199869761335,22.4221407321762,31.5885817339769,29.314729910563
"2015-01-01",23.4358344392789,10.1844219326986,32.7743211767868,23.835366197664,-2.62294548599192,32.3238705945472,31.5263701024703,29.2049173225539
"2016-01-01",23.446556812524,18.0845255077414,32.6306409954058,18.3307766442268,20.2196593105527,32.2835228500896,31.4641584709636,12.8328294433802
"2017-01-01",-5.35028946062397,-1.0491797868267,32.486960814025,23.33795951509,26.4923164589193,32.2431751056317,31.401946839457,22.331117029061
"2018-01-01",21.8606041919584,16.8914421206653,32.3432806326441,23.2440312789826,26.4606066643214,32.2028273611743,31.3397352079505,27.6467357475256
"2019-01-01",21.8705921560772,-67.4079693768333,32.1996004512631,23.1501030428753,26.4288968697235,18.0121390997318,24.8394358843718,14.856963458324
"2020-01-01",-45.383347829683,12.7250368252901,32.0559202698823,16.4258511156538,18.147187289196,16.5751769260455,30.9000057636753,20.1795914909169
"2021-01-01",11.62305398157,-56.4731463252648,31.9122400885016,8.79519471853797,25.9777496734612,15.1408461269978,30.8384225324869,12.518578526631
"2022-01-01",18.3578190405987,9.62948904622863,31.7685599071204,21.9656215581893,25.9465061993719,29.9517774887775,30.7768393012985,-3.29982918628275
"2023-01-01",18.3661913046393,9.57877831261433,31.6248797257398,-30.8557422567336,16.50347907968,29.9140611189584,30.7152560701103,24.4089334691171
"2024-01-01",2.34465444570515,9.52806757900004,31.4811995443588,-3.79815222707452,15.6995783145104,29.8763447491392,30.6536728389219,24.3143077283859
"2025-01-01",9.40045833266907,2.73652950167624,31.3375193629778,-13.791507705461,25.0810511270416,11.5116014478423,30.5920896077336,24.2196819876548
"2026-01-01",-86.4980563155457,9.18493723711066,31.193839181597,-7.8124177789968,25.0507402939702,-56.4824537415039,30.5305063765452,7.22159566263758
"2027-01-01",13.5576592132227,1.91258196090706,31.0501590002162,16.5042884292753,14.0661291561877,16.1001558985279,30.4689231453568,23.4370865430765
"2028-01-01",13.5638282498842,8.84700799610482,30.9064788188352,-10.6033132636044,13.266891596106,25.5777379763935,30.4073399141685,23.3447972403881
"2029-01-01",13.5699972865459,8.7988978129323,30.7627986374544,6.18408017072028,-10.9764684248734,14.9983133340764,30.34575668298,-23.4386999610638
"2030-01-01",-16.2878927246925,8.78777013581413,20.433226097355,15.1873691495302,-13.2842363039639,3.39608312707867,30.3253784085128,-26.4126371291028
"2031-01-01",12.5920588136804,8.80253021293396,30.374895009409,15.2161919606136,9.4053809738208,-76.6515742401691,30.3338436037506,20.2830068024847
"2032-01-01",-19.2076190382647,0.403710433112792,30.363181719197,5.06211276476904,21.5240294261655,9.78414183379869,30.3423087989879,-92.1337830127243
"2033-01-01",11.6106389781621,8.59334630319603,30.3514684289853,4.50348028420694,8.27622219393129,21.0108512803632,30.3507739942254,-14.485648267882
"2034-01-01",11.6042390147751,-18.0664532583862,30.3397551387732,3.94318494915944,21.1631589431913,21.0008930902104,30.3592391894631,5.36987588946613
"2035-01-01",11.5978390513883,7.90356289747683,30.3280418485613,14.4469745585077,21.1749025358662,-29.4654726134441,30.3677043847006,15.8875442090462
"2036-01-01",11.5914390880016,7.91672729058371,30.3163285583494,3.11299621591581,6.77188709999075,19.6051749584358,30.3761695799381,15.8910158869086
"2037-01-01",11.5850391246147,-11.2922870900329,30.3046152681377,14.2053496865665,20.8129644535578,19.5958697643587,30.3846347751755,15.8944875647708
