"","SBSwk3","SBSdw3","SBSmc2","SBSmc3","SBSmk1","SBPSmc","ESSFmv1","CWHws2"
"SBSwk3",1,0.271079878278791,0.461589963678647,0.575855874404747,0.612951238512782,0.542511290875265,0.5213850965222,-0.257582175742099
"SBSdw3",0.271079878278791,1,0.330266990812398,0.376733078633452,0.219050763895848,0.392823266872808,0.283922489565941,-0.126732765263193
"SBSmc2",0.461589963678647,0.330266990812398,1,0.441296541003196,0.337549357993402,0.500726208157912,0.331508807715408,-0.198519489071814
"SBSmc3",0.575855874404747,0.376733078633452,0.441296541003196,1,0.341291229902696,0.679094654888683,0.463675872061397,-0.19346937364482
"SBSmk1",0.612951238512782,0.219050763895848,0.337549357993402,0.341291229902696,1,0.406701893809036,0.274539541453599,-0.108304278778321
"SBPSmc",0.542511290875265,0.392823266872808,0.500726208157912,0.679094654888683,0.406701893809036,1,0.447398699837837,-0.148773798179411
"ESSFmv1",0.5213850965222,0.283922489565941,0.331508807715408,0.463675872061397,0.274539541453599,0.447398699837837,1,-0.22063284130571
"CWHws2",-0.257582175742099,-0.126732765263193,-0.198519489071814,-0.19346937364482,-0.108304278778321,-0.148773798179411,-0.22063284130571,1
