"","Bl","Cw","Fd","Hw","Lw","Pl","Py","Sx"
"Bl",1,-0.215358775,-0.180263368,-0.085752061,0.032128258,0.120313889,-0.244274293,0.251921026
"Cw",-0.215358775,1,0.054231008,0.655238471,0.111673869,-0.337147787,-0.108306549,-0.06149088
"Fd",-0.180263368,0.054231008,1,-0.01504159,0.446259667,0.093889108,0.38497023,0.13844438
"Hw",-0.085752061,0.655238471,-0.01504159,1,0.045633203,-0.320559947,-0.15916128,-0.038779114
"Lw",0.032128258,0.111673869,0.446259667,0.045633203,1,0.102731439,0.308351456,0.154991722
"Pl",0.120313889,-0.337147787,0.093889108,-0.320559947,0.102731439,1,-0.111037954,0.304331063
"Py",-0.244274293,-0.108306549,0.38497023,-0.15916128,0.308351456,-0.111037954,1,-0.098883991
"Sx",0.251921026,-0.06149088,0.13844438,-0.038779114,0.154991722,0.304331063,-0.098883991,1
