"Unit","SImin","SImean","SImax","MeanPlotSiteIndex","Spp"
"ICHmc2/01",14.1344316817255,16.0415768870457,18.0285112758764,16.8298665364583,"Cw"
"ICHmc2/02",11.5075654068932,12.4535406820305,13.504740533608,NA,"Cw"
"ICHmc2/03",18.4273088914909,19.2303002389508,20.3565316567309,18.7742855889457,"Cw"
"ICHmc2/04",20.3565316567309,20.3565316567309,20.3565316567309,20.1428572790963,"Cw"
"ICHmc2/05",18.5642626479964,19.7734134422849,20.5336069479147,20.9071434565953,"Cw"
"ICHmc2/06",19.1804681532296,19.88700309643,20.2581704051168,21,"Cw"
"ICHmc2/07",13.923343089582,17.6533477067994,20.5336069479147,18,"Cw"
"ICHmc2/08",13.923343089582,15.5332819713139,16.4771058313045,NA,"Cw"
"ICHmk1/01",10.9949925059447,13.9598025031489,16.9377149227129,15,"Cw"
"ICHmk1/01",10.9949925059447,13.9598025031489,16.9377149227129,15,"Cw"
"ICHmk1/02",7.45653996328363,10.5538606479675,13.7677568767624,NA,"Cw"
"ICHmk1/03",10.9949925059447,11.8617363041815,13.7677568767624,NA,"Cw"
"ICHmk1/04",10.9949925059447,13.087933415744,15.4523319690252,12,"Cw"
"ICHmk1/04",10.9949925059447,13.087933415744,15.4523319690252,12,"Cw"
"ICHmk1/05",13.5462727383279,15.6586162159729,16.9833261267156,17.3414286204747,"Cw"
"ICHmk1/05",13.5462727383279,15.6586162159729,16.9833261267156,17.3414286204747,"Cw"
"ICHmk1/06",14.9396877034036,16.2773463815601,17.600234526784,18,"Cw"
"ICHmk1/06",14.9396877034036,16.2773463815601,17.600234526784,18,"Cw"
"ICHmk1/07",11.9342940767846,15.1314408915424,17.600234526784,15,"Cw"
"ICHmk1/07",11.9342940767846,15.1314408915424,17.600234526784,15,"Cw"
"ICHmk1/08",10.2674711923458,12.5525490653597,14.1232335696896,NA,"Cw"
"ICHmk2/01",10.9949925059447,13.4381466275768,16.9377149227129,15,"Cw"
"ICHmk2/02",7.45653996328363,9.59139636853737,11.1087039480693,NA,"Cw"
"ICHmk2/03",9.88400847819902,10.898121373262,11.5754918859497,NA,"Cw"
"ICHmk2/04",11.5754918859497,13.8140894718818,15.7988321312964,12,"Cw"
"ICHmk2/05",13.190754518454,15.683913534132,17.600234526784,18,"Cw"
"ICHmk2/06",10.2674711923458,14.541877394166,17.600234526784,15,"Cw"
"ICHmk3/01",12.2964347436821,14.2354622305755,16.4917977459278,16.4057140350342,"Cw"
"ICHmk3/02",10.0318437034294,11.80921191139,13.9736813701784,NA,"Cw"
"ICHmk3/03",11.1594447316897,12.7933085807047,14.8272121475102,NA,"Cw"
"ICHmk3/04",16.0310797340972,16.7441033109052,17.7094324526908,NA,"Cw"
"ICHmk3/05",15.6841405032345,16.4748842300075,17.7094324526908,NA,"Cw"
"ICHmk3/06",17.5927173907596,17.6973732657092,17.863481431227,NA,"Cw"
"ICHmk3/07",15.5074293287841,16.5070450719518,17.863481431227,NA,"Cw"
"ICHmm/01",14.1571830763642,14.6969477193904,15.2332194077597,17.3271428516933,"Cw"
"ICHmm/02",10.9949925059447,11.051848227007,11.1087039480693,12,"Cw"
"ICHmm/03",12.1152271557647,13.1362051160645,14.1571830763642,12,"Cw"
"ICHmm/04",15.6014566182857,16.4518027410092,17.699826867109,15,"Cw"
"ICHmm/05",14.3687880854985,16.0052818901951,17.699826867109,18,"Cw"
"ICHmm/06",16.742865959839,16.8952585781209,17.0476511964029,18,"Cw"
"ICHmm/07",8.00395033918567,9.13571076576572,10.2674711923458,NA,"Cw"
"ICHmm/08",10.2674711923458,11.1008826345652,11.9342940767846,18,"Cw"
"ICHmw1/01",10.9949925059447,13.5934835083989,15.7988321312964,18,"Cw"
"ICHmw1/02",10.6199563406572,12.8523169234205,14.4214354414313,12,"Cw"
"ICHmw1/03",10.9949925059447,11.2852421959472,11.5754918859497,15,"Cw"
"ICHmw1/04",11.5754918859497,13.2548947347145,14.4214354414313,15,"Cw"
"ICHmw1/05",13.190754518454,14.8833302099472,16.9377149227129,18,"Cw"
"ICHmw1/06",15.4523319690252,16.2930512874375,16.9833261267156,18,"Cw"
"ICHmw1/07",15.912225126854,16.9533922659179,17.600234526784,15,"Cw"
"ICHmw2/102",14.7954412374341,15.5536110969556,16.6630559221039,NA,"Cw"
"ICHmw2/103",15.9299345109858,16.5952203662758,17.3632378289246,NA,"Cw"
"ICHmw2/104",17.3632378289246,18.1286068423552,18.8497419644939,NA,"Cw"
"ICHmw2/110",23.6922542890597,24.7460283439601,26.172683558654,NA,"Cw"
"ICHmw2/111",23.868337690281,25.6975566142377,26.400351790176,NA,"Cw"
"ICHmw2/112",23.868337690281,25.6975566142377,26.400351790176,NA,"Cw"
"ICHmw2/113",17.9014411151768,22.3387452375421,26.400351790176,NA,"Cw"
"ICHmw2/114",20.8277961339283,23.6032973046058,26.400351790176,NA,"Cw"
"ICHmw3/01",14.1571830763642,15.1346658106487,16.4404012741968,15,"Cw"
"ICHmw3/01",14.1571830763642,15.1346658106487,16.4404012741968,15,"Cw"
"ICHmw3/02",8.63278725400909,9.9582527079918,11.1087039480693,NA,"Cw"
"ICHmw3/03",9.88400847819902,12.9984244901475,15.7988321312964,15,"Cw"
"ICHmw3/03",9.88400847819902,12.9984244901475,15.7988321312964,15,"Cw"
