ID1,ID2,lat,long,el
1,1,52.9435795724708,-122.053651265428,847
1,2,52.9392400452096,-122.019752865318,925
1,3,52.8475217322534,-122.114323487987,1022
1,4,52.9198475689178,-121.989783828837,933
1,5,52.8859522041246,-122.108178640543,1002
2,6,52.9448109908774,-122.015028431186,959
2,7,52.9456438055122,-122.017089759851,955
2,8,52.9460150635394,-122.022348888355,958
2,9,52.9447934817523,-121.985751941483,1188
2,10,52.9436476940801,-122.017277438864,951
3,11,52.8540313562698,-122.012933194099,893
3,12,52.856351881782,-122.129904933315,983
3,13,52.8913709681272,-122.126547194208,936
3,14,52.9360057279633,-122.046396629089,848
3,15,52.9295590025451,-122.123478811915,987
4,16,52.8773321519426,-122.132630758799,957
4,17,52.8892308014767,-122.06794178691,981
4,18,52.9248213462457,-122.117368038826,1013
4,19,52.8621370080476,-122.048180571437,995
4,20,52.8860667063252,-122.041853904027,912
5,21,52.9436016641645,-122.020456062486,933
5,22,52.94647427859,-122.020018784248,942
5,23,52.9450640777694,-122.011441023593,975
5,24,52.9462509586116,-122.009028236337,989
5,25,52.9450017581599,-122.019780029849,944
6,26,52.8988017165612,-121.985672075979,901
6,27,52.9077790977165,-121.99684973845,880
6,28,52.9213728191573,-122.092827401763,972
6,29,52.9349985128922,-122.009709861991,906
6,30,52.8732436261279,-122.09640940688,1009
7,31,52.9330788622757,-122.068749861708,890
7,32,52.926460267541,-122.058710107148,893
7,33,52.890733752484,-121.992986423504,920
7,34,52.941668023357,-122.07478818679,883
7,35,52.8869392484985,-122.072544130286,997
8,36,52.9454170843815,-122.013970646395,956
8,37,52.9458258195272,-122.013016485276,964
8,38,52.9438953257163,-122.011397574896,980
8,39,52.9454032602042,-122.013428323739,963
8,40,52.9447735448415,-122.014190855222,955
9,41,52.8843467586533,-122.075798351321,1006
9,42,52.8932676505671,-122.097384692496,1006
9,43,52.8957052026947,-122.097144397466,1001
9,44,52.8936748344072,-122.097511298605,1005
9,45,52.8950649105274,-122.096577195608,1005
10,46,52.9435785257035,-122.052807753225,848
10,47,52.9147138292565,-122.006376038746,883
10,48,52.9228769081063,-122.022583944418,886
10,49,52.932445954495,-122.045890083696,857
10,50,52.9109308434389,-121.998903102331,886
11,51,52.94769985764,-122.06552643188,847
11,52,52.9477397872546,-122.065676177717,850
11,53,52.9476594769466,-122.065492648635,847
11,54,52.9477754892558,-122.065695608495,850
11,55,52.9477254134353,-122.065359194616,847
12,56,52.9241852021213,-122.019097889893,861
12,57,52.9115454777102,-121.99265080303,896
12,58,52.911713668745,-121.992759424772,895
12,59,52.9116608911867,-121.993240501027,894
12,60,52.9297698122904,-122.027210626599,854
13,61,52.9100203716233,-122.007704685531,905
13,62,52.925297257216,-122.104034866754,1045
13,63,52.8459619954566,-122.059881117915,1036
13,64,52.8472227975158,-122.058044740008,1045
13,65,52.91117269463,-122.01077485528,898
14,66,52.8740499393216,-122.133054423468,963
14,67,52.9193034459274,-122.075420195668,966
14,68,52.8585624393085,-122.015925867374,917
14,69,52.9331805411354,-122.118361212421,1004
14,70,52.8945879255737,-122.089515888587,1000
15,71,52.9343812689452,-122.026680318777,859
15,72,52.8861132409734,-122.105636651748,1009
15,73,52.9427802619935,-122.058244444832,846
15,74,52.943278092773,-122.057921362064,846
15,75,52.9336951374557,-122.030014015398,851
16,76,52.9448740532245,-121.981034603734,1201
16,77,52.9451932882352,-121.981715537856,1205
16,78,52.9450740142027,-121.981367127239,1199
16,79,52.9455446019705,-121.981679249223,1203
16,80,52.9452968951915,-121.98130211919,1202
17,81,52.9465637024323,-122.019663575664,942
17,82,52.9458547446821,-122.019965158968,948
17,83,52.9464530911285,-122.019802007447,942
17,84,52.9459652492909,-122.019548230761,942
17,85,52.9462416106618,-122.019913717206,942
18,86,52.9477920774141,-122.109125523159,940
18,87,52.8647589430887,-122.049441801163,986
18,88,52.9483168236039,-122.109764947783,933
18,89,52.8651724611391,-122.048542154308,982
18,90,52.9187256343486,-122.039937746702,864
19,91,52.9355467703976,-122.022303492882,874
19,92,52.8854093539059,-122.021518538255,895
19,93,52.8856268568101,-122.021097720769,896
19,94,52.8847725601213,-122.022179444341,905
19,95,52.885575545245,-122.020851328005,896
20,96,52.944152826073,-122.01850009284,942
20,97,52.9428383273531,-122.01817436031,937
20,98,52.9438425832656,-122.023555281558,932
20,99,52.9220540111014,-121.987423499445,946
20,100,52.9433600855341,-122.023193108703,929
21,101,52.9324482096773,-122.082791377396,921
21,102,52.9445885953355,-122.04507656841,849
21,103,52.9448216846774,-122.046252540603,851
21,104,52.8926339161068,-121.99259235047,915
21,105,52.8996185276949,-122.078346943432,971
22,106,52.8747469935014,-122.100469855758,1000
22,107,52.8754174588921,-122.106891593302,985
22,108,52.8754379913691,-122.106378617651,987
22,109,52.8750058796393,-122.109571789854,979
22,110,52.946069005669,-122.007013080999,981
23,111,52.8694325515123,-122.038677661504,952
23,112,52.9271148225701,-122.022321221474,856
23,113,52.9474524801287,-122.063095336984,843
23,114,52.8789488510299,-121.989634593153,937
23,115,52.8705756763972,-122.039237636923,951
24,116,52.9464483261405,-122.016122363341,954
24,117,52.9463726132835,-122.015930243104,954
24,118,52.9465141931183,-122.015475603418,956
24,119,52.9461651084012,-122.016117575021,954
24,120,52.9465131481851,-122.015671002531,956
25,121,52.8541060385595,-122.001574711866,933
25,122,52.9269856391237,-121.983606977793,1006
25,123,52.9393963014698,-122.034411301634,854
25,124,52.9376462544284,-122.030705404624,855
25,125,52.9261449303485,-122.016956717681,865
26,126,52.9481102867461,-122.079907459858,908
26,127,52.9481272830296,-122.079903353542,908
26,128,52.9481021600932,-122.079850016633,908
26,129,52.9481033509161,-122.079664983223,909
26,130,52.9481214268222,-122.079680300853,909
27,131,52.8736369251725,-122.049012862492,981
27,132,52.9261135563934,-122.062064710612,903
27,133,52.8628989594229,-122.030644192093,978
27,134,52.8769818269417,-122.025068869841,905
27,135,52.8580219209692,-122.010766593522,908
28,136,52.9486998301494,-122.104704368749,932
28,137,52.9486739360014,-122.104715889815,932
28,138,52.9486879732212,-122.104615120524,932
28,139,52.9486795972344,-122.104742694402,932
28,140,52.9486922124912,-122.104611100969,932
29,141,52.9059521867426,-122.100336370815,978
29,142,52.8704933939375,-122.050052998906,984
29,143,52.9461489676913,-122.032201102099,886
29,144,52.8706616612639,-122.050170189141,984
29,145,52.9066991601362,-122.100722731289,983
30,146,52.901085116601,-122.000447735018,934
30,147,52.9464216289335,-122.130761738565,964
30,148,52.930055136427,-122.076581234315,935
30,149,52.9325483734409,-122.0330367975,855
30,150,52.9284887655634,-122.078522656639,933
31,151,52.9450739019637,-122.014689364967,954
31,152,52.9460533857291,-122.016018017314,954
31,153,52.9463459001582,-122.017099168547,951
