fid,id,ZONE,BGC,BGC_analysis,xcoord,ycoord,elevation_1
296,460,MH,MHmm2,MHmm2_lo,-124.0713292,50.72501519,920
321,440,MH,MHmm2,MHmm2_lo,-125.0570768,50.92034894,958
290,448,MH,MHmm2,MHmm2_lo,-123.8941977,50.69715951,962
291,453,MH,MHmm2,MHmm2_lo,-123.9089193,50.57556217,972
289,434,MH,MHmm2,MHmm2_lo,-124.2860698,50.56963876,1026
292,455,MH,MHmm2,MHmm2_lo,-124.2921041,50.78559872,1043
329,420,MH,MHmm2,MHmm2_lo,-124.7898193,51.06121423,1043
337,425,MH,MHmm2,MHmm2_lo,-125.0414756,51.20630059,1080
316,418,MH,MHmm2,MHmm2_lo,-124.919177,50.85529708,1091
322,443,MH,MHmm2,MHmm2_lo,-125.1756796,51.11622505,1091
335,454,MH,MHmm2,MHmm2_lo,-124.780286,51.14427751,1111
298,465,MH,MHmm2,MHmm2_lo,-124.3275477,50.7098059,1183
327,463,MH,MHmm2,MHmm2_lo,-124.9665132,50.89754734,1183
325,451,MH,MHmm2,MHmm2_lo,-124.8963034,50.90643691,1185
332,438,MH,MHmm2,MHmm2_lo,-124.7992052,50.98698567,1189
320,435,MH,MHmm2,MHmm2_lo,-125.1740542,51.03508638,1204
323,447,MH,MHmm2,MHmm2_lo,-125.2444598,51.20340835,1226
331,433,MH,MHmm2,MHmm2_lo,-124.4254521,51.01755843,1229
303,428,MH,MHmm2,MHmm2_lo,-124.6612759,50.84091613,1238
319,426,MH,MHmm2,MHmm2_lo,-125.0522067,50.82846147,1239
306,439,MH,MHmm2,MHmm2_hi,-124.5563949,50.811475,1250
317,421,MH,MHmm2,MHmm2_hi,-125.0486405,50.78059184,1258
315,442,MH,MHmm2,MHmm2_hi,-124.357224,51.03525623,1261
311,467,MH,MHmm2,MHmm2_hi,-124.8488492,50.80090643,1262
334,449,MH,MHmm2,MHmm2_hi,-124.9859869,51.1172773,1276
333,445,MH,MHmm2,MHmm2_hi,-124.8587954,51.01908624,1277
310,458,MH,MHmm2,MHmm2_hi,-123.9340229,50.81632984,1289
302,419,MH,MHmm2,MHmm2_hi,-124.436706,50.75118512,1307
285,437,MH,MHmm2,MHmm2_hi,-124.7084551,50.73703912,1318
286,423,MH,MHmm2,MHmm2_hi,-124.2440796,50.71668867,1324
307,441,MH,MHmm2,MHmm2_hi,-124.5076176,50.75384373,1330
326,452,MH,MHmm2,MHmm2_hi,-125.0644955,51.10858593,1332
314,424,MH,MHmm2,MHmm2_hi,-124.2793411,51.09967375,1335
274,430,MH,MHmm2,MHmm2_hi,-124.5365533,50.66986145,1341
295,459,MH,MHmm2,MHmm2_hi,-124.2019513,50.76632705,1342
304,429,MH,MHmm2,MHmm2_hi,-124.337581,50.87768003,1360
293,456,MH,MHmm2,MHmm2_hi,-124.2123076,50.54173575,1374
338,461,MH,MHmm2,MHmm2_hi,-125.1050173,51.23935749,1380
330,432,MH,MHmm2,MHmm2_hi,-124.6483603,50.92712417,1406
318,422,MH,MHmm2,MHmm2_hi,-125.0960944,51.02660234,1412
324,450,MH,MHmm2,MHmm2_hi,-125.0456877,50.98276093,1413
336,464,MH,MHmm2,MHmm2_hi,-124.6089376,50.97191174,1441
288,431,MH,MHmm2,MHmm2_hi,-123.7907568,50.5771605,1451
299,466,MH,MHmm2,MHmm2_hi,-124.2279803,50.64712784,1453
297,462,MH,MHmm2,MHmm2_hi,-123.9644068,50.71451907,1482
305,436,MH,MHmm2,MHmm2_hi,-124.1727051,50.90247547,1490
287,427,MH,MHmm2,MHmm2_hi,-123.9537871,50.64323222,1525
308,444,MH,MHmm2,MHmm2_hi,-124.3426842,50.95019369,1534
309,446,MH,MHmm2,MHmm2_hi,-123.8685929,50.78655202,1630
