fid,id,ZONE,BGC,BGC_analysis,xcoord,ycoord,elevation_1
134,136,CWH,CWHds1,CWHds1,-124.9109977,50.7859545,70
135,137,CWH,CWHds1,CWHds1,-124.8202362,50.86656018,627
136,139,CWH,CWHds1,CWHds1,-124.9321466,50.93038703,460
137,141,CWH,CWHds1,CWHds1,-124.8164583,50.72167167,713
138,142,CWH,CWHds1,CWHds1,-124.6405224,50.90761009,692
139,143,CWH,CWHds1,CWHds1,-124.8961549,50.87643046,283
140,144,CWH,CWHds1,CWHds1,-124.4888943,50.8542136,339
141,145,CWH,CWHds1,CWHds1,-124.831437,50.76723502,610
142,146,CWH,CWHds1,CWHds1,-125.0758322,51.16891609,360
143,149,CWH,CWHds1,CWHds1,-124.9742424,51.05974771,27
144,150,CWH,CWHds1,CWHds1,-124.2858965,50.99562006,362
145,151,CWH,CWHds1,CWHds1,-125.0113289,51.26033872,708
146,152,CWH,CWHds1,CWHds1,-124.9425467,50.83568457,72
147,153,CWH,CWHds1,CWHds1,-124.1897268,50.96663884,560
148,154,CWH,CWHds1,CWHds1,-124.8623456,50.82148447,205
194,164,CWH,CWHms1,CWHms1_hi,-124.4350108,50.96843635,1144
193,162,CWH,CWHms1,CWHms1_hi,-123.9722448,50.89408508,1142
230,190,CWH,CWHms1,CWHms1_hi,-125.0123485,50.86751716,1125
197,167,CWH,CWHms1,CWHms1_hi,-124.1630361,50.93693884,1103
200,175,CWH,CWHms1,CWHms1_hi,-124.3208742,50.97373679,1103
202,177,CWH,CWHms1,CWHms1_hi,-124.3013501,51.08660847,1103
203,178,CWH,CWHms1,CWHms1_hi,-124.9995407,51.15391039,1093
191,157,CWH,CWHms1,CWHms1_hi,-124.3355718,51.02144953,1064
102,185,CWH,CWHms1,CWHms1_hi,-124.1560756,50.59696943,1057
211,194,CWH,CWHms1,CWHms1_hi,-124.7052717,50.7986364,1055
198,168,CWH,CWHms1,CWHms1_hi,-124.6210192,50.83840953,1014
212,195,CWH,CWHms1,CWHms1_hi,-124.7237506,50.8509607,1009
225,169,CWH,CWHms1,CWHms1_hi,-125.1877615,51.02991045,1003
231,196,CWH,CWHms1,CWHms1_hi,-125.0420983,50.79683212,993
235,202,CWH,CWHms1,CWHms1_hi,-125.0344262,51.20880131,984
213,203,CWH,CWHms1,CWHms1_hi,-124.6556543,50.9056485,983
215,205,CWH,CWHms1,CWHms1_hi,-124.7855768,50.94929482,978
204,179,CWH,CWHms1,CWHms1_hi,-124.0678073,50.90960488,973
195,165,CWH,CWHms1,CWHms1_hi,-124.9570057,51.21599482,961
196,166,CWH,CWHms1,CWHms1_hi,-124.8792516,50.96817116,961
104,197,CWH,CWHms1,CWHms1_hi,-124.2242624,50.77786301,959
205,182,CWH,CWHms1,CWHms1_hi,-124.1399322,50.89005051,959
233,200,CWH,CWHms1,CWHms1_hi,-125.0727039,51.02859414,952
189,174,CWH,CWHms1,CWHms1_hi,-124.6608526,50.71636644,938
209,192,CWH,CWHms1,CWHms1_hi,-124.4500847,50.80542251,930
226,172,CWH,CWHms1,CWHms1_hi,-125.179316,50.89761845,914
206,184,CWH,CWHms1,CWHms1_hi,-124.7826143,50.7494515,908
228,186,CWH,CWHms1,CWHms1_lo,-124.9388685,50.86281421,896
101,181,CWH,CWHms1,CWHms1_lo,-124.1198539,50.54938711,892
229,189,CWH,CWHms1,CWHms1_lo,-125.2172947,51.24004554,887
207,187,CWH,CWHms1,CWHms1_lo,-124.8828495,50.79944579,882
210,193,CWH,CWHms1,CWHms1_lo,-124.5699348,50.87339889,872
224,163,CWH,CWHms1,CWHms1_lo,-125.0141237,51.06409041,858
103,191,CWH,CWHms1,CWHms1_lo,-123.9964009,50.70620805,850
192,158,CWH,CWHms1,CWHms1_lo,-124.8725211,51.13032818,843
234,201,CWH,CWHms1,CWHms1_lo,-125.1091653,50.91055324,842
100,180,CWH,CWHms1,CWHms1_lo,-124.0030177,50.65980028,826
99,173,CWH,CWHms1,CWHms1_lo,-123.8798614,50.63806056,818
223,160,CWH,CWHms1,CWHms1_lo,-125.0516401,51.11701941,815
214,204,CWH,CWHms1,CWHms1_lo,-124.8613264,51.02918946,774
190,199,CWH,CWHms1,CWHms1_lo,-124.5798371,50.69074145,746
227,183,CWH,CWHms1,CWHms1_lo,-125.1431837,51.20248386,738
199,170,CWH,CWHms1,CWHms1_lo,-124.4449045,50.86023051,687
208,188,CWH,CWHms1,CWHms1_lo,-124.9063903,51.08914562,660
222,159,CWH,CWHms1,CWHms1_lo,-125.016039,50.98550514,628
98,171,CWH,CWHms1,CWHms1_lo,-124.2403554,50.62033696,595
232,198,CWH,CWHms1,CWHms1_lo,-125.1248416,51.12711986,520
97,161,CWH,CWHms1,CWHms1_lo,-124.2029146,50.73396391,450
201,176,CWH,CWHms1,CWHms1_lo,-124.7603093,50.99269228,347
96,156,CWH,CWHms1,CWHms1_lo,-124.2245662,50.68648745,250
354,253,CWH,CWHvm1,CWHvm1_N,-124.9711799,50.76873261,637
353,245,CWH,CWHvm1,CWHvm1_N,-124.9096793,50.73488548,402
115,240,CWH,CWHvm1,CWHvm1_N,-124.7102179,50.68663043,677
113,236,CWH,CWHvm1,CWHvm1_N,-124.8052199,50.66208372,534
352,233,CWH,CWHvm1,CWHvm1_N,-124.9228231,50.63668277,765
116,244,CWH,CWHvm1,CWHvm1_N,-124.7847224,50.61182019,540
120,252,CWH,CWHvm1,CWHvm1_N,-124.349383,50.59439619,599
117,247,CWH,CWHvm1,CWHvm1_N,-124.8560273,50.58645132,453
351,217,CWH,CWHvm1,CWHvm1_N,-125.073539,50.57250883,682
108,208,CWH,CWHvm1,CWHvm1_N,-124.4670126,50.53911409,150
114,239,CWH,CWHvm1,CWHvm1_N,-124.6463924,50.53192476,386
110,229,CWH,CWHvm1,CWHvm1_N,-124.9006568,50.50907754,573
118,249,CWH,CWHvm1,CWHvm1_N,-124.7074908,50.5039375,589
107,246,CWH,CWHvm1,CWHvm1_N,-124.3315968,50.49495211,557
119,251,CWH,CWHvm1,CWHvm1_N,-124.9823739,50.49268625,411
109,227,CWH,CWHvm1,CWHvm1_N,-124.4139109,50.48009129,534
111,230,CWH,CWHvm1,CWHvm1_N,-124.7951165,50.45746248,603
105,214,CWH,CWHvm1,CWHvm1_N,-124.0286113,50.4537388,342
112,235,CWH,CWHvm1,CWHvm1_N,-124.5462049,50.44356389,523
106,220,CWH,CWHvm1,CWHvm1_N,-124.0924194,50.41810327,466
422,231,CWH,CWHvm1,CWHvm1_N,-125.0535208,50.40967286,475
423,250,CWH,CWHvm1,CWHvm1_S,-124.984308,50.37736155,519
93,238,CWH,CWHvm1,CWHvm1_S,-124.2831412,50.3560395,332
95,255,CWH,CWHvm1,CWHvm1_S,-124.4172297,50.33873964,255
89,224,CWH,CWHvm1,CWHvm1_S,-124.0741275,50.31115388,543
92,210,CWH,CWHvm1,CWHvm1_S,-124.2836788,50.30852419,256
90,228,CWH,CWHvm1,CWHvm1_S,-124.006282,50.26283238,549
94,243,CWH,CWHvm1,CWHvm1_S,-124.4052585,50.25751885,315
88,219,CWH,CWHvm1,CWHvm1_S,-123.941418,50.24453822,404
91,242,CWH,CWHvm1,CWHvm1_S,-124.014327,50.21813154,317
87,232,CWH,CWHvm1,CWHvm1_S,-124.2115247,50.19203942,293
345,254,CWH,CWHvm1,CWHvm1_S,-124.7954822,50.17768098,478
85,213,CWH,CWHvm1,CWHvm1_S,-123.7947977,50.15348073,492
346,218,CWH,CWHvm1,CWHvm1_S,-123.6797222,50.1175603,227
86,223,CWH,CWHvm1,CWHvm1_S,-124.2107419,50.1119466,119
84,212,CWH,CWHvm1,CWHvm1_S,-124.0847402,50.10129608,333
343,216,CWH,CWHvm1,CWHvm1_S,-123.7397625,50.06584426,473
83,206,CWH,CWHvm1,CWHvm1_S,-124.0779913,50.05475272,367
344,234,CWH,CWHvm1,CWHvm1_S,-123.6772648,50.02431004,451
398,211,CWH,CWHvm1,CWHvm1_S,-123.7194117,49.95676183,443
394,226,CWH,CWHvm1,CWHvm1_S,-123.6823063,49.84333402,216
341,209,CWH,CWHvm1,CWHvm1_S,-123.3845581,49.81625097,574
340,215,CWH,CWHvm1,CWHvm1_S,-123.5504649,49.77495535,514
342,241,CWH,CWHvm1,CWHvm1_S,-123.3764859,49.76397692,412
339,225,CWH,CWHvm1,CWHvm1_S,-123.5932168,49.71696225,602
82,248,CWH,CWHvm1,CWHvm1_S,-123.5241592,49.61429855,541
79,221,CWH,CWHvm1,CWHvm1_S,-123.3169468,49.59537605,278
80,207,CWH,CWHvm1,CWHvm1_S,-123.4015765,49.58799461,169
81,222,CWH,CWHvm1,CWHvm1_S,-123.4781514,49.53943348,450
78,237,CWH,CWHvm1,CWHvm1_S,-123.6388941,49.53449105,568
219,305,CWH,CWHvm2,CWHvm2_N,-125.0211583,50.7561666,949
216,291,CWH,CWHvm2,CWHvm2_N,-124.7864773,50.68519891,1192
185,261,CWH,CWHvm2,CWHvm2_N,-124.4653068,50.62145329,954
217,273,CWH,CWHvm2,CWHvm2_N,-124.9579595,50.61644046,596
218,276,CWH,CWHvm2,CWHvm2_N,-125.1119696,50.60573835,885
186,271,CWH,CWHvm2,CWHvm2_N,-124.3944082,50.57463641,832
184,292,CWH,CWHvm2,CWHvm2_N,-124.3028896,50.56272561,946
187,281,CWH,CWHvm2,CWHvm2_N,-124.6355756,50.5496491,963
188,288,CWH,CWHvm2,CWHvm2_N,-124.8213965,50.54491174,664
183,277,CWH,CWHvm2,CWHvm2_N,-124.2120392,50.53223169,730
175,290,CWH,CWHvm2,CWHvm2_N,-124.1837364,50.44357008,724
182,301,CWH,CWHvm2,CWHvm2_N,-124.067563,50.40710215,1128
162,269,CWH,CWHvm2,CWHvm2_S,-123.976841,50.37733919,745
179,296,CWH,CWHvm2,CWHvm2_S,-124.4303411,50.34734524,763
160,266,CWH,CWHvm2,CWHvm2_S,-124.01496,50.32296357,718
156,262,CWH,CWHvm2,CWHvm2_S,-124.1820084,50.19536739,446
168,280,CWH,CWHvm2,CWHvm2_S,-124.3334779,50.14966795,623
169,282,CWH,CWHvm2,CWHvm2_S,-124.4250459,50.13292246,861
170,283,CWH,CWHvm2,CWHvm2_S,-123.6365473,50.12821405,1018
181,299,CWH,CWHvm2,CWHvm2_S,-124.054062,50.10910223,951
428,302,CWH,CWHvm2,CWHvm2_S,-124.6836862,50.05108256,802
157,263,CWH,CWHvm2,CWHvm2_S,-123.9206253,50.03643184,619
171,284,CWH,CWHvm2,CWHvm2_S,-123.7498822,50.03538096,743
164,274,CWH,CWHvm2,CWHvm2_S,-123.997665,50.02596993,792
178,295,CWH,CWHvm2,CWHvm2_S,-124.1608619,50.01969129,980
167,279,CWH,CWHvm2,CWHvm2_S,-124.2476532,49.99931388,807
426,297,CWH,CWHvm2,CWHvm2_S,-124.3649324,49.9807117,784
173,286,CWH,CWHvm2,CWHvm2_S,-123.652054,49.93862809,830
421,256,CWH,CWHvm2,CWHvm2_S,-124.4457187,49.93080831,690
172,285,CWH,CWHvm2,CWHvm2_S,-123.9168021,49.92664973,662
350,289,CWH,CWHvm2,CWHvm2_S,-124.0788564,49.88696294,722
159,265,CWH,CWHvm2,CWHvm2_S,-123.6049799,49.87763343,1130
427,303,CWH,CWHvm2,CWHvm2_S,-124.359145,49.85643281,717
420,300,CWH,CWHvm2,CWHvm2_S,-123.9835529,49.85569185,582
166,278,CWH,CWHvm2,CWHvm2_S,-123.4025709,49.84739765,763
158,264,CWH,CWHvm2,CWHvm2_S,-123.5023174,49.84690416,983
176,293,CWH,CWHvm2,CWHvm2_S,-123.7391353,49.83233035,1010
155,259,CWH,CWHvm2,CWHvm2_S,-123.6677858,49.81886017,869
