SS_NoSpace,SIPred,Spp
CWHwh_WA/113,30,Ss
CWHwh1/101,24,Dr
CWHwh1/116,36,Dr
CWHwh1/118,36,Dr
CWHwh2/101,20,Dr
CWHwh2/112,28,Dr
CWHwm/01,24,Dr
CWHwm/04,36,Dr
CWHwm/09,36,Dr
CWHws1/01,24,Dr
CWHws1/06,36,Dr
CWHws2/01,20,Dr
CWHws2/06,28,Dr
CWHxm_OR/101,16,Dr
CWHxm_OR/101,24,Bg
CWHxm_OR/113,36,Dr
CWHxm_OR/113,40,Bg
CWHxm_WA/101,16,Dr
CWHxm_WA/101,24,Bg
CWHxm_WA/101,30,Cw
CWHxm_WA/101,30,Dr
CWHxm_WA/101,30,Fd
CWHxm_WA/101,30,Hw
CWHxm_WA/101,30,Mb
CWHxm_WA/101,30,Pl
CWHxm_WA/102,16,Bg
CWHxm_WA/102,30,Ra
CWHxm_WA/103,30,Cw
CWHxm_WA/103,30,Dr
CWHxm_WA/103,30,Fd
CWHxm_WA/103,30,Hw
CWHxm_WA/103,30,Mb
CWHxm_WA/103,30,Qg
CWHxm_WA/113,36,Dr
CWHxm_WA/113,40,Bg
CWHxm_WA/113,30,Act
CWHxm_WA/113,30,Bg
CWHxm_WA/113,30,Cw
CWHxm_WA/113,30,Dr
CWHxm_WA/113,30,Fd
CWHxm_WA/113,30,Hw
CWHxm_WA/113,30,Mb
CWHxm_WA/113,30,Og
CWHxm1/01,20,Dr
CWHxm1/01,20,Dr
CWHxm1/01,20,Bg
CWHxm1/07,36,Dr
CWHxm1/07,40,Bg
CWHxm2/01,20,Bg
CWHxm2/07,36,Dr
CWHxm2/07,40,Bg
