ID1,BGC_analysis
374,MHmm1_lo
410,MHmm1_lo
391,MHmm1_lo
414,MHmm1_lo
411,MHmm1_lo
376,MHmm1_hi
375,MHmm1_hi
386,MHmm1_hi
380,MHmm1_hi
390,MHmm1_hi
370,MHmm1_hi
393,MHmm1_hi
377,MHmm1_hi
383,MHmm1_hi
417,MHmm1_hi
397,MHmm1_hi
405,MHmm1_hi
395,MHmm1_hi
412,MHmm1_hi
413,MHmm1_hi
369,MHmm1_hi
403,MHmm1_hi
381,MHmm1_hi
378,MHmm1_hi
387,MHmm1_hi
394,MHmm1_hi
388,MHmm1_hi
389,MHmm1_hi
402,MHmm1_hi
415,MHmm1_hi
373,MHmm1_hi
384,MHmm1_hi
372,MHmm1_hi
385,MHmm1_hi
409,MHmm1_hi
371,MHmm1_hi
457,MHmm2_lo
460,MHmm2_lo
440,MHmm2_lo
448,MHmm2_lo
453,MHmm2_lo
434,MHmm2_lo
455,MHmm2_lo
420,MHmm2_lo
425,MHmm2_lo
418,MHmm2_lo
443,MHmm2_lo
454,MHmm2_lo
465,MHmm2_lo
463,MHmm2_lo
451,MHmm2_lo
438,MHmm2_lo
435,MHmm2_lo
447,MHmm2_lo
433,MHmm2_lo
428,MHmm2_lo
426,MHmm2_lo
439,MHmm2_hi
421,MHmm2_hi
442,MHmm2_hi
467,MHmm2_hi
449,MHmm2_hi
445,MHmm2_hi
458,MHmm2_hi
419,MHmm2_hi
437,MHmm2_hi
423,MHmm2_hi
441,MHmm2_hi
452,MHmm2_hi
424,MHmm2_hi
430,MHmm2_hi
459,MHmm2_hi
429,MHmm2_hi
456,MHmm2_hi
461,MHmm2_hi
432,MHmm2_hi
422,MHmm2_hi
450,MHmm2_hi
464,MHmm2_hi
431,MHmm2_hi
466,MHmm2_hi
462,MHmm2_hi
436,MHmm2_hi
427,MHmm2_hi
444,MHmm2_hi
446,MHmm2_hi
